mapping,topology_scenario,arrival_scenario,initial_state,scrub_period,representation,trials,e_cap_count,f_a,ci_method,confidence_level,ci_low,ci_high,ci_half_width,precision_limit,precision_satisfied,paired_disagreement_rate_vs_l1,l2_input_fingerprint,signed_error_vs_l1,absolute_error_vs_l1,relative_error_vs_l1
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,1.0,L0,8000,7617,0.952125,wilson_score,0.95,0.9472256169266315,0.9565903865784997,0.004682384825934083,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,1.0,L1,8000,7617,0.952125,wilson_score,0.95,0.9472256169266315,0.9565903865784997,0.004682384825934083,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,1.0,L2-independent_word_marginals,8000,6928,0.866,wilson_score,0.95,0.8583593262770417,0.8732893489408251,0.007465011331891702,0.011,True,0.086125,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08612500000000001,0.08612500000000001,-0.09045555993173165
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,1.0,L3-U,8000,5991,0.748875,wilson_score,0.95,0.7392542566748271,0.7582568472728412,0.009501295299007007,0.011,True,,,-0.20325000000000004,0.20325000000000004,-0.21346987002756995
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,2.0,L0,8000,7613,0.951625,wilson_score,0.95,0.9467027660005446,0.956113717456475,0.004705475727965203,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,2.0,L1,8000,7613,0.951625,wilson_score,0.95,0.9467027660005446,0.956113717456475,0.004705475727965203,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,2.0,L2-independent_word_marginals,8000,6932,0.8665,wilson_score,0.95,0.858870863692389,0.8737773315735897,0.007453233940600379,0.011,True,0.085875,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.085125,0.085125,-0.08945225272560095
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,2.0,L3-U,8000,7238,0.90475,wilson_score,0.95,0.8981215525784716,0.910989926368063,0.00643418689479569,0.011,True,,,-0.046875,0.046875,-0.04925784841718114
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,4.0,L0,8000,7598,0.94975,wilson_score,0.95,0.9447432890317425,0.9543249942448574,0.0047908526065574275,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,4.0,L1,8000,7598,0.94975,wilson_score,0.95,0.9447432890317425,0.9543249942448574,0.0047908526065574275,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,4.0,L2-independent_word_marginals,8000,6965,0.870625,wilson_score,0.95,0.8630923890541741,0.8778018466087273,0.007354728777276609,0.011,True,0.082875,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.079125,0.079125,-0.08331139773624638
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-nhpp-low-then-high,non-clean-two-singletons,4.0,L3-U,8000,7826,0.97825,wilson_score,0.95,0.9748166225706703,0.9812243034483046,0.0032038404388171626,0.011,True,,,0.02849999999999997,0.02849999999999997,0.030007896814951272
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,0.5,L0,8000,1912,0.239,wilson_score,0.95,0.229781346349453,0.24846918853616648,0.009343921093356744,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,0.5,L1,8000,1912,0.239,wilson_score,0.95,0.229781346349453,0.24846918853616648,0.009343921093356744,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,0.5,L2-independent_word_marginals,8000,2228,0.2785,wilson_score,0.95,0.26878532394503163,0.28842729474142326,0.009820985398195814,0.011,True,0.1375,ac4e314c0b4ce3b68ba671935652598ca285ec0ed85653390da5b1accc8e4e56,0.039500000000000035,0.039500000000000035,0.1652719665271968
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,0.5,L3-U,8000,3182,0.39775,wilson_score,0.95,0.3870765542288325,0.40852159593229603,0.010722520851731754,0.011,True,,,0.15875,0.15875,0.6642259414225942
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,1.0,L0,8000,3048,0.381,wilson_score,0.95,0.37041781752198527,0.3916964110273968,0.010639296752705751,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,separated-three-cell-only,synthetic-hpp-constant,clean,1.0,L1,8000,3048,0.381,wilson_score,0.95,0.37041781752198527,0.3916964110273968,0.010639296752705751,0.011,True,0.0,,0.0,0.0,0.0
