mapping_id,radiation_type,particle,LET_MeV_cm2_mg,energy_MeV,source_file,N_events,N_direct,S_direct_event_cells,S_residual_cells
W_01_02,heavy_ion,U,17.0,,clust_U142.8GeV.txt,950,0,0,6707
W_01_02,heavy_ion,U,15.0,,clust_U190.4GeV.txt,924,0,0,5484
W_01_02,heavy_ion,U,33.0,,clust_U35.7GeV.txt,476,0,0,6230
W_01_02,heavy_ion,U,29.0,,clust_U45.2GeV.txt,1050,0,0,12340
W_01_02,heavy_ion,U,22.0,,clust_U78.5GeV.txt,1026,0,0,9822
W_01_02,heavy_ion,Xe,,,clust_Xe2700MeV.txt,1041,0,0,16735
W_01_02,heavy_ion,Xe,27.0,,clust_XeLET27.txt,998,0,0,10876
W_01_02,heavy_ion,Xe,42.0,,clust_XeLET42.txt,1119,0,0,17012
W_01_02,heavy_ion,Xe,57.0,,clust_XeLET57.txt,1060,0,0,21185
W_01_02,proton,p,,0.9,clust_p0.9MeV.txt,7455,0,0,7507
W_01_02,proton,p,,1.1,clust_p1.1MeV.txt,14012,0,0,14090
W_01_02,proton,p,,1.5,clust_p1.5MeV.txt,3214,0,0,3224
W_01_02,proton,p,,124.0,clust_p124MeV.txt,9403,0,0,13631
W_01_02,proton,p,,164.0,clust_p164MeV.txt,8667,0,0,13353
W_01_02,proton,p,,186.0,clust_p186MeV.txt,8356,0,0,12969
