energy_MeV,sigma_cm2_per_bit,origin
0.954992586021,1.114009370384e-09,INTERPOLATION_loglog_between_anchors
0.96,1.130712494875e-09,INTERPOLATION_loglog_between_anchors
0.97,1.164553553834e-09,INTERPOLATION_loglog_between_anchors
0.98,1.199044716635e-09,INTERPOLATION_loglog_between_anchors
0.99,1.234191647064e-09,INTERPOLATION_loglog_between_anchors
1,1.270000000000e-09,EXPERIMENTAL_marker_anchor
1.01,1.126284440871e-09,INTERPOLATION_loglog_between_anchors
1.02,1.000014518282e-09,INTERPOLATION_loglog_between_anchors
1.03,8.889316227841e-10,INTERPOLATION_loglog_between_anchors
1.04,7.910874614291e-10,INTERPOLATION_loglog_between_anchors
1.04712854805,7.284826334166e-10,INTERPOLATION_loglog_between_anchors
1.05,7.047990074072e-10,INTERPOLATION_loglog_between_anchors
1.06,6.286103341865e-10,INTERPOLATION_loglog_between_anchors
1.07,5.612602304073e-10,INTERPOLATION_loglog_between_anchors
1.08,5.016546768766e-10,INTERPOLATION_loglog_between_anchors
1.09,4.488434197228e-10,INTERPOLATION_loglog_between_anchors
1.09647819614,4.178637379445e-10,INTERPOLATION_loglog_between_anchors
1.1,4.020000000000e-10,EXPERIMENTAL_marker_anchor
1.11,3.794922093444e-10,INTERPOLATION_loglog_between_anchors
1.12,3.584297937991e-10,INTERPOLATION_loglog_between_anchors
1.13,3.387082512019e-10,INTERPOLATION_loglog_between_anchors
1.14,3.202314653173e-10,INTERPOLATION_loglog_between_anchors
1.1481536215,3.060257504070e-10,INTERPOLATION_loglog_between_anchors
1.15,3.029109674023e-10,INTERPOLATION_loglog_between_anchors
1.16,2.866652684660e-10,INTERPOLATION_loglog_between_anchors
1.17,2.714192549208e-10,INTERPOLATION_loglog_between_anchors
1.18,2.571036411323e-10,INTERPOLATION_loglog_between_anchors
1.19,2.436544730883e-10,INTERPOLATION_loglog_between_anchors
1.2,2.310126780356e-10,INTERPOLATION_loglog_between_anchors
1.20226443462,2.282564270033e-10,INTERPOLATION_loglog_between_anchors
1.21,2.191236554896e-10,INTERPOLATION_loglog_between_anchors
1.22,2.079369055171e-10,INTERPOLATION_loglog_between_anchors
1.23,1.974056906231e-10,INTERPOLATION_loglog_between_anchors
1.24,1.874867279651e-10,INTERPOLATION_loglog_between_anchors
1.25,1.781399089575e-10,INTERPOLATION_loglog_between_anchors
1.25892541179,1.702503674904e-10,INTERPOLATION_loglog_between_anchors
1.26,1.693280436346e-10,INTERPOLATION_loglog_between_anchors
1.27,1.610166274128e-10,INTERPOLATION_loglog_between_anchors
1.28,1.531736281330e-10,INTERPOLATION_loglog_between_anchors
1.29,1.457692914785e-10,INTERPOLATION_loglog_between_anchors
1.3,1.387759630574e-10,INTERPOLATION_loglog_between_anchors
1.31,1.321679256082e-10,INTERPOLATION_loglog_between_anchors
1.31825673856,1.269851982314e-10,INTERPOLATION_loglog_between_anchors
1.32,1.259212499393e-10,INTERPOLATION_loglog_between_anchors
1.33,1.200136583530e-10,INTERPOLATION_loglog_between_anchors
1.34,1.144243994233e-10,INTERPOLATION_loglog_between_anchors
1.35,1.091341331086e-10,INTERPOLATION_loglog_between_anchors
1.36,1.041248252780e-10,INTERPOLATION_loglog_between_anchors
1.37,9.937965081824e-11,INTERPOLATION_loglog_between_anchors
1.38,9.488290456621e-11,INTERPOLATION_loglog_between_anchors
1.3803842646,9.471486498131e-11,INTERPOLATION_loglog_between_anchors
1.39,9.061991938602e-11,INTERPOLATION_loglog_between_anchors
1.4,8.657699076978e-11,INTERPOLATION_loglog_between_anchors
1.41,8.274130740188e-11,INTERPOLATION_loglog_between_anchors
1.42,7.910088717667e-11,INTERPOLATION_loglog_between_anchors
1.43,7.564451820706e-11,INTERPOLATION_loglog_between_anchors
1.44,7.236170440314e-11,INTERPOLATION_loglog_between_anchors
1.44543977075,7.064528601263e-11,INTERPOLATION_loglog_between_anchors
1.45,6.924261523838e-11,INTERPOLATION_loglog_between_anchors
1.46,6.627803935521e-11,INTERPOLATION_loglog_between_anchors
1.47,6.345934169275e-11,INTERPOLATION_loglog_between_anchors
1.48,6.077842384783e-11,INTERPOLATION_loglog_between_anchors
1.49,5.822768740571e-11,INTERPOLATION_loglog_between_anchors
1.5,5.580000000000e-11,EXPERIMENTAL_marker_anchor
1.51356124844,5.165394543333e-11,INTERPOLATION_loglog_between_anchors
1.58489319246,3.479651288422e-11,INTERPOLATION_loglog_between_anchors
1.65958690744,2.344055809763e-11,INTERPOLATION_loglog_between_anchors
1.73780082875,1.579065597052e-11,INTERPOLATION_loglog_between_anchors
1.81970085861,1.063732420281e-11,INTERPOLATION_loglog_between_anchors
1.90546071796,7.165798964075e-12,INTERPOLATION_loglog_between_anchors
1.99526231497,4.827217241344e-12,INTERPOLATION_loglog_between_anchors
2,4.730000000000e-12,EXPERIMENTAL_marker_anchor
2.08929613085,3.830397708805e-12,INTERPOLATION_loglog_between_anchors
2.18776162395,3.066564786041e-12,INTERPOLATION_loglog_between_anchors
2.29086765277,2.455050441725e-12,INTERPOLATION_loglog_between_anchors
2.39883291902,1.965480298623e-12,INTERPOLATION_loglog_between_anchors
2.5,1.610000000000e-12,EXPERIMENTAL_marker_anchor
2.51188643151,1.570057659864e-12,INTERPOLATION_loglog_between_anchors
2.6302679919,1.230240912763e-12,INTERPOLATION_loglog_between_anchors
2.75422870334,9.639726884717e-13,INTERPOLATION_loglog_between_anchors
2.88403150313,7.553344507400e-13,INTERPOLATION_loglog_between_anchors
3,6.130000000000e-13,EXPERIMENTAL_marker_anchor
3.0199517204,5.933443700841e-13,INTERPOLATION_loglog_between_anchors
3.16227766017,4.731237612032e-13,INTERPOLATION_loglog_between_anchors
3.31131121483,3.772616792223e-13,INTERPOLATION_loglog_between_anchors
3.46736850453,3.008227154935e-13,INTERPOLATION_loglog_between_anchors
3.6307805477,2.398714503509e-13,INTERPOLATION_loglog_between_anchors
3.80189396321,1.912698401085e-13,INTERPOLATION_loglog_between_anchors
3.98107170553,1.525156565386e-13,INTERPOLATION_loglog_between_anchors
4,1.490000000000e-13,EXPERIMENTAL_marker_anchor
4.1686938347,1.289306271121e-13,INTERPOLATION_loglog_between_anchors
4.3651583224,1.097264535236e-13,INTERPOLATION_loglog_between_anchors
4.57088189615,9.338273513857e-14,INTERPOLATION_loglog_between_anchors
4.78630092323,7.947340811564e-14,INTERPOLATION_loglog_between_anchors
5,6.820000000000e-14,EXPERIMENTAL_marker_anchor
5.01187233627,6.822977632325e-14,ASSUMPTION_unmeasured_5_to_40_bridge
5.2480746025,6.881054378156e-14,ASSUMPTION_unmeasured_5_to_40_bridge
5.49540873858,6.939625469504e-14,ASSUMPTION_unmeasured_5_to_40_bridge
5.75439937337,6.998695114206e-14,ASSUMPTION_unmeasured_5_to_40_bridge
6.02559586074,7.058267555917e-14,ASSUMPTION_unmeasured_5_to_40_bridge
6.3095734448,7.118347074411e-14,ASSUMPTION_unmeasured_5_to_40_bridge
6.60693448008,7.178937985895e-14,ASSUMPTION_unmeasured_5_to_40_bridge
6.91830970919,7.240044643312e-14,ASSUMPTION_unmeasured_5_to_40_bridge
7.24435960075,7.301671436658e-14,ASSUMPTION_unmeasured_5_to_40_bridge
7.58577575029,7.363822793297e-14,ASSUMPTION_unmeasured_5_to_40_bridge
7.94328234724,7.426503178278e-14,ASSUMPTION_unmeasured_5_to_40_bridge
8.31763771103,7.489717094656e-14,ASSUMPTION_unmeasured_5_to_40_bridge
8.70963589956,7.553469083815e-14,ASSUMPTION_unmeasured_5_to_40_bridge
9.12010839356,7.617763725797e-14,ASSUMPTION_unmeasured_5_to_40_bridge
9.54992586021,7.682605639627e-14,ASSUMPTION_unmeasured_5_to_40_bridge
10,7.747999483649e-14,ASSUMPTION_unmeasured_5_to_40_bridge
10.4712854805,7.813949955856e-14,ASSUMPTION_unmeasured_5_to_40_bridge
10.9647819614,7.880461794231e-14,ASSUMPTION_unmeasured_5_to_40_bridge
11.481536215,7.947539777088e-14,ASSUMPTION_unmeasured_5_to_40_bridge
