LET_MeV_cm2_mg,sigma_normal_cm2_per_bit,sigma_iso60_cm2_per_bit
0.00794328234724,0.000000000000e+00,0.000000000000e+00
0.00822242649947,0.000000000000e+00,0.000000000000e+00
0.00851138038202,0.000000000000e+00,0.000000000000e+00
0.00881048873008,0.000000000000e+00,0.000000000000e+00
0.00912010839356,0.000000000000e+00,0.000000000000e+00
0.00944060876286,0.000000000000e+00,0.000000000000e+00
0.00977237220956,0.000000000000e+00,0.000000000000e+00
0.0101157945426,0.000000000000e+00,0.000000000000e+00
0.0104712854805,0.000000000000e+00,0.000000000000e+00
0.0108392691402,0.000000000000e+00,0.000000000000e+00
0.011220184543,0.000000000000e+00,0.000000000000e+00
0.0116144861384,0.000000000000e+00,0.000000000000e+00
0.0120226443462,0.000000000000e+00,0.000000000000e+00
0.0124451461177,0.000000000000e+00,0.000000000000e+00
0.0128824955169,0.000000000000e+00,0.000000000000e+00
0.0133352143216,0.000000000000e+00,0.000000000000e+00
0.013803842646,0.000000000000e+00,0.000000000000e+00
0.0142889395851,0.000000000000e+00,0.000000000000e+00
0.0147910838817,0.000000000000e+00,0.000000000000e+00
0.0153108746168,0.000000000000e+00,0.000000000000e+00
0.0158489319246,0.000000000000e+00,0.000000000000e+00
0.016405897732,0.000000000000e+00,0.000000000000e+00
0.0169824365246,0.000000000000e+00,0.000000000000e+00
0.0175792361396,0.000000000000e+00,0.000000000000e+00
0.0181970085861,0.000000000000e+00,0.000000000000e+00
0.0188364908949,0.000000000000e+00,0.000000000000e+00
0.0194984459976,0.000000000000e+00,0.000000000000e+00
0.0201836636368,0.000000000000e+00,0.000000000000e+00
0.0208929613085,0.000000000000e+00,0.000000000000e+00
0.0216271852373,0.000000000000e+00,0.000000000000e+00
0.0223872113857,0.000000000000e+00,0.000000000000e+00
0.0231739464997,0.000000000000e+00,0.000000000000e+00
0.0239883291902,0.000000000000e+00,0.000000000000e+00
0.024831331053,0.000000000000e+00,0.000000000000e+00
0.0257039578277,0.000000000000e+00,0.000000000000e+00
0.026607250598,0.000000000000e+00,0.000000000000e+00
0.0275422870334,0.000000000000e+00,0.000000000000e+00
0.028510182675,0.000000000000e+00,0.000000000000e+00
0.0295120922667,0.000000000000e+00,0.000000000000e+00
0.0305492111322,0.000000000000e+00,0.000000000000e+00
0.0316227766017,0.000000000000e+00,0.000000000000e+00
0.0327340694879,0.000000000000e+00,0.000000000000e+00
0.0338844156139,0.000000000000e+00,0.000000000000e+00
0.0350751873953,0.000000000000e+00,0.000000000000e+00
0.036307805477,0.000000000000e+00,0.000000000000e+00
0.0375837404288,0.000000000000e+00,0.000000000000e+00
0.0389045144994,0.000000000000e+00,0.000000000000e+00
0.0402717034325,0.000000000000e+00,0.000000000000e+00
0.041686938347,0.000000000000e+00,0.000000000000e+00
0.0431519076828,0.000000000000e+00,0.000000000000e+00
0.0446683592151,0.000000000000e+00,0.000000000000e+00
0.0462381021399,0.000000000000e+00,0.000000000000e+00
0.0478630092323,0.000000000000e+00,0.000000000000e+00
0.0495450190805,0.000000000000e+00,0.000000000000e+00
0.0512861383991,0.000000000000e+00,0.000000000000e+00
0.0530884444231,0.000000000000e+00,0.000000000000e+00
0.0549540873858,0.000000000000e+00,0.000000000000e+00
0.0568852930844,0.000000000000e+00,0.000000000000e+00
0.0588843655356,0.000000000000e+00,0.000000000000e+00
0.060953689724,0.000000000000e+00,0.000000000000e+00
0.063095734448,0.000000000000e+00,0.000000000000e+00
0.0653130552647,0.000000000000e+00,0.000000000000e+00
0.0676082975392,0.000000000000e+00,0.000000000000e+00
0.0699841996002,0.000000000000e+00,0.000000000000e+00
0.0724435960075,0.000000000000e+00,0.000000000000e+00
0.0749894209332,0.000000000000e+00,0.000000000000e+00
0.075,0.000000000000e+00,0.000000000000e+00
0.0776247116629,0.000000000000e+00,1.157898938834e-14
0.0803526122186,0.000000000000e+00,5.538794008543e-14
0.0831763771103,0.000000000000e+00,1.403343457862e-13
0.0860993752185,0.000000000000e+00,2.744290259917e-13
0.0891250938134,0.000000000000e+00,4.651970201742e-13
0.0922571427155,0.000000000000e+00,7.208800081712e-13
0.0954992586021,0.000000000000e+00,1.050334750418e-12
0.0988553094657,0.000000000000e+00,1.462671249829e-12
0.102329299228,0.000000000000e+00,1.967769717735e-12
0.105925372518,0.000000000000e+00,2.576321740950e-12
0.109647819614,0.000000000000e+00,3.299870393403e-12
0.113501081567,0.000000000000e+00,4.150860070455e-12
0.117489755494,0.000000000000e+00,5.142598002859e-12
0.121618600065,0.000000000000e+00,6.289223597395e-12
0.125892541179,0.000000000000e+00,7.607510615813e-12
0.130316677845,0.000000000000e+00,9.113523995305e-12
0.134896288259,0.000000000000e+00,1.082579140807e-11
0.139636836106,0.000000000000e+00,1.276454694324e-11
0.144543977075,0.000000000000e+00,1.495086865831e-11
0.149623565609,0.000000000000e+00,1.740823937976e-11
0.15,0.000000000000e+00,1.759824679831e-11
0.154881661891,2.673835607848e-12,2.012210962637e-11
0.160324539069,6.568935840205e-12,2.303339309124e-11
0.165958690744,1.107753570734e-11,2.613464293981e-11
0.171790838716,1.609796543039e-11,2.942600714341e-11
0.177827941004,2.158812669122e-11,3.291028684635e-11
0.184077200147,2.752893391970e-11,3.659179920059e-11
0.190546071796,3.391297712866e-11,4.047590805812e-11
0.197242273611,4.073977454822e-11,4.456878885777e-11
0.204173794467,4.801342684194e-11,4.887729814126e-11
0.211348903984,5.574132804875e-11,5.340889708080e-11
0.218776162395,6.393340361071e-11,5.817160581056e-11
0.226464430759,7.260163631532e-11,6.317397669473e-11
0.234422881532,8.175976085720e-11,6.842507995904e-11
0.242661009508,9.142306281639e-11,7.393449781608e-11
0.251188643151,1.016082453566e-10,7.971232469441e-11
0.260015956317,1.123333416184e-10,8.576917203755e-11
0.269153480393,1.236176590436e-10,9.211617665805e-11
0.278612116863,1.354817467328e-10,9.876501195872e-11
0.288403150313,1.479473799176e-10,1.057279015457e-10
0.298538261892,1.610375575146e-10,1.130176349012e-10
0.309029543251,1.747765099572e-10,1.206475848808e-10
0.319889510969,1.891897153184e-10,1.286317268713e-10
0.331131121483,2.043039223056e-10,1.369846594919e-10
0.342767786546,2.201471790925e-10,1.457216267604e-10
0.354813389234,2.367488672374e-10,1.548585416721e-10
0.367282300498,2.541397401372e-10,1.644120111593e-10
0.380189396321,2.723519656118e-10,1.743993624172e-10
0.393550075456,2.914191723301e-10,1.848386705918e-10
0.407380277804,3.113764998664e-10,1.957487878385e-10
0.421696503429,3.322606522456e-10,2.071493737652e-10
0.43651583224,3.541099548821e-10,2.190609272834e-10
0.451855944375,3.769644148603e-10,2.315048198956e-10
0.467735141287,4.008657845335e-10,2.445033304498e-10
0.484172367584,4.258576284468e-10,2.580796814008e-10
0.501187233627,4.519853936085e-10,2.722580766179e-10
0.518800038929,4.792964831543e-10,2.870637407837e-10
0.53703179637,5.078403334627e-10,3.025229604320e-10
0.55590425727,5.376684947951e-10,3.186631266739e-10
0.575439937337,5.688347155416e-10,3.355127796676e-10
0.595662143529,6.013950301704e-10,3.531016548843e-10
0.616595001861,6.354078509797e-10,3.714607312309e-10
0.638263486191,6.709340637683e-10,3.906222810880e-10
0.660693448008,7.080371275415e-10,4.106199223257e-10
0.683911647281,7.467831783804e-10,4.314886723622e-10
0.707945784384,7.872411376089e-10,4.532650043304e-10
0.732824533139,8.294828243995e-10,4.759869054208e-10
0.758577575029,8.735830729621e-10,4.996939374706e-10
0.78523563461,9.196198544734e-10,5.244272998704e-10
0.812830516164,9.676744039009e-10,5.502298948607e-10
0.841395141645,1.017831351890e-09,5.771463952932e-10
0.870963589956,1.070178861880e-09,6.052233149314e-10
0.901571137606,1.124808772633e-09,6.345090813685e-10
0.933254300797,1.181816746341e-09,6.650541116379e-10
0.96605087899,1.241302422519e-09,6.969108905972e-10
1,1.303369577846e-09,7.301340521622e-10
1.03514216668,1.368126292180e-09,7.647804634713e-10
1.07151930524,1.435685120922e-09,8.009093120594e-10
1.10917481526,1.506163273948e-09,8.385821961196e-10
1.1481536215,1.579682801305e-09,8.778632179319e-10
1.18850222744,1.656370785891e-09,9.188190805363e-10
1.23026877081,1.736359543336e-09,9.615191877268e-10
1.27350308102,1.819786829282e-09,1.006035747440e-09
1.31825673856,1.906796054311e-09,1.052443878611e-09
1.36458313659,1.997536506718e-09,1.100821721571e-09
1.41253754462,2.092163583360e-09,1.151250552041e-09
1.46217717446,2.190839028809e-09,1.203814898798e-09
1.51356124844,2.293731183027e-09,1.258602665067e-09
1.56675107011,2.401015237788e-09,1.315705253683e-09
