energy_mev,main_loglog,linear_energy,gap_linear_5_40,low_hold,supported_only_diagnostic,experimental_sigma_cm2_per_bit,experimental_value_type,experimental_source
4,1.490000000e-13,1.490000000e-13,1.490000000e-13,1.490000000e-13,1.490000000e-13,1.490000000e-13,experimental marker-centre digitization,REDW2020 Fig.6 digitized experimental CNA marker
4.00808716,1.479497470e-13,1.483465578e-13,1.479497470e-13,1.479497470e-13,1.479497470e-13,,,
4.10598464,1.359597012e-13,1.404364407e-13,1.359597012e-13,1.359597012e-13,1.359597012e-13,,,
4.20627328,1.249413447e-13,1.323331190e-13,1.249413447e-13,1.249413447e-13,1.249413447e-13,,,
4.30901146,1.148159307e-13,1.240318738e-13,1.148159307e-13,1.148159307e-13,1.148159307e-13,,,
4.41425903,1.055110937e-13,1.155278708e-13,1.055110937e-13,1.055110937e-13,1.055110937e-13,,,
4.52207726,9.696033323e-14,1.068161575e-13,9.696033323e-14,9.696033323e-14,9.696033323e-14,,,
4.63252895,8.910253784e-14,9.789166078e-14,8.910253784e-14,8.910253784e-14,8.910253784e-14,,,
4.74567842,8.188154872e-14,8.874918329e-14,8.188154872e-14,8.188154872e-14,8.188154872e-14,,,
4.86159157,7.524575824e-14,7.938340087e-14,7.524575824e-14,7.524575824e-14,7.524575824e-14,,,
4.9803359,6.914774112e-14,6.978885931e-14,6.914774112e-14,6.914774112e-14,6.914774112e-14,,,
5,6.820000000e-14,6.820000000e-14,6.820000000e-14,6.820000000e-14,6.820000000e-14,6.820000000e-14,experimental marker-centre digitization,REDW2020 Fig.6 digitized experimental CNA marker
5.10198055,6.845391479e-14,6.829265662e-14,6.829265662e-14,6.845391479e-14,6.845391479e-14,,,
5.22659638,6.875862548e-14,6.840587900e-14,6.840587900e-14,6.875862548e-14,6.875862548e-14,,,
5.35425594,6.906469254e-14,6.852186683e-14,6.852186683e-14,6.906469254e-14,6.906469254e-14,,,
5.48503359,6.937212200e-14,6.864068766e-14,6.864068766e-14,6.937212200e-14,6.937212200e-14,,,
5.61900548,6.968091993e-14,6.876241070e-14,6.876241070e-14,6.968091993e-14,6.968091993e-14,,,
5.75624964,6.999109242e-14,6.888710681e-14,6.888710681e-14,6.999109242e-14,6.999109242e-14,,,
5.89684598,7.030264559e-14,6.901484863e-14,6.901484863e-14,7.030264559e-14,7.030264559e-14,,,
6.04087638,7.061558559e-14,6.914571054e-14,6.914571054e-14,7.061558559e-14,7.061558559e-14,,,
6.18842473,7.092991858e-14,6.927976875e-14,6.927976875e-14,7.092991858e-14,7.092991858e-14,,,
6.33957694,7.124565078e-14,6.941710134e-14,6.941710134e-14,7.124565078e-14,7.124565078e-14,,,
6.49442105,7.156278839e-14,6.955778827e-14,6.955778827e-14,7.156278839e-14,7.156278839e-14,,,
6.65304722,7.188133770e-14,6.970191147e-14,6.970191147e-14,7.188133770e-14,7.188133770e-14,,,
6.81554783,7.220130496e-14,6.984955489e-14,6.984955489e-14,7.220130496e-14,7.220130496e-14,,,
6.98201752,7.252269651e-14,7.000080449e-14,7.000080449e-14,7.252269651e-14,7.252269651e-14,,,
7.15255323,7.284551868e-14,7.015574836e-14,7.015574836e-14,7.284551868e-14,7.284551868e-14,,,
7.32725427,7.316977783e-14,7.031447674e-14,7.031447674e-14,7.316977783e-14,7.316977783e-14,,,
7.50622238,7.349548037e-14,7.047708205e-14,7.047708205e-14,7.349548037e-14,7.349548037e-14,,,
7.68956179,7.382263271e-14,7.064365900e-14,7.064365900e-14,7.382263271e-14,7.382263271e-14,,,
7.87737926,7.415124132e-14,7.081430459e-14,7.081430459e-14,7.415124132e-14,7.415124132e-14,,,
8.06978417,7.448131267e-14,7.098911819e-14,7.098911819e-14,7.448131267e-14,7.448131267e-14,,,
8.26688857,7.481285327e-14,7.116820162e-14,7.116820162e-14,7.481285327e-14,7.481285327e-14,,,
8.46880724,7.514586967e-14,7.135165915e-14,7.135165915e-14,7.514586967e-14,7.514586967e-14,,,
8.67565778,7.548036844e-14,7.153959764e-14,7.153959764e-14,7.548036844e-14,7.548036844e-14,,,
8.88756063,7.581635616e-14,7.173212652e-14,7.173212652e-14,7.581635616e-14,7.581635616e-14,,,
9.10463921,7.615383948e-14,7.192935791e-14,7.192935791e-14,7.615383948e-14,7.615383948e-14,,,
9.32701994,7.649282505e-14,7.213140668e-14,7.213140668e-14,7.649282505e-14,7.649282505e-14,,,
9.55483231,7.683331955e-14,7.233839049e-14,7.233839049e-14,7.683331955e-14,7.683331955e-14,,,
9.78820899,7.717532971e-14,7.255042988e-14,7.255042988e-14,7.717532971e-14,7.717532971e-14,,,
10.0272859,7.751886226e-14,7.276764833e-14,7.276764833e-14,7.751886226e-14,7.751886226e-14,,,
10.2722023,7.786392399e-14,7.299017234e-14,7.299017234e-14,7.786392399e-14,7.786392399e-14,,,
10.5231007,7.821052170e-14,7.321813149e-14,7.321813149e-14,7.821052170e-14,7.821052170e-14,,,
10.7801273,7.855866223e-14,7.345165854e-14,7.345165854e-14,7.855866223e-14,7.855866223e-14,,,
11.0434318,7.890835244e-14,7.369088949e-14,7.369088949e-14,7.890835244e-14,7.890835244e-14,,,
11.3131675,7.925959925e-14,7.393596365e-14,7.393596365e-14,7.925959925e-14,7.925959925e-14,,,
11.5894915,7.961240956e-14,7.418702375e-14,7.418702375e-14,7.961240956e-14,7.961240956e-14,,,
