sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,valid_5min_intervals,q_M_period_event_weighted,q_M_time_median,r_M_background_median_s-1,r_M_p95_s-1,r_M_p99_s-1,r_M_peak_s-1,peak_timestamp_utc,tau_D_upper_background_s,tau_D_upper_p95_s,tau_D_upper_p99_s,tau_D_upper_peak_s,expected_upper_multi_events_valid_period,F_D_upper_valid_period,E_lt_0p9_bit_fraction_period,bit_rate_background_median_s-1
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,1.0,16971,0.007268133331649657,0.013980946663092481,1.3928658485349683e-06,7.74858886319116e-05,0.002496694675417988,0.4208268908092206,2026-01-19T19:20:00+00:00,717944.2306319816,12905.575681662409,400.5295520697113,2.3762740020654816,2705.1764027520667,1.0,0.331837793204134,0.00010147075724821493
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,1.0,16971,0.0033951927748630695,0.008611337993501398,9.346867965290677e-07,3.985336187840124e-05,0.001289543020908835,0.21515642159552184,2026-01-19T19:20:00+00:00,1069877.1007715857,25091.986042511406,775.4685061187234,4.6477813331545645,1388.4882590883587,1.0,0.3523886489784622,0.00010941547308096616
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,1.0,16971,0.007953220955722463,0.013067909512648471,1.4065068714540197e-06,9.312289696374264e-05,0.0029949083443126796,0.5052505124066111,2026-01-19T19:20:00+00:00,710981.2403306777,10738.497540399216,333.90003467017493,1.9792162015567214,3237.8182071621145,1.0,0.3523886489784622,0.00010941547308096616
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,1.0,16971,0.0034781811010374275,0.008692719356934928,9.430422708873075e-07,4.08436696887843e-05,0.0013188406728493979,0.2206117478329873,2026-01-19T19:20:00+00:00,1060397.8537028898,24483.598256955855,758.2417046931588,4.532850176034341,1422.3203251933332,1.0,0.3523886489784622,0.00010941547308096616
published_rpp_fluka_digitized,raw_nearest_observed,low_energy_conservative,1.0,16971,0.008036929462760843,0.013149821914338208,1.4150867432392005e-06,9.416423084916749e-05,0.0030270383142080846,0.5107058386440766,2026-01-19T19:20:00+00:00,706670.4601521124,10619.743728399402,330.3559110257294,1.95807434403922,3271.6502732670892,1.0,0.3523886489784622,0.00010941547308096616
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,K1_only,1.0,16971,0.0028214540141746156,0.008045972282831214,8.747453394798748e-07,3.316344954992845e-05,0.0010759037347211498,0.17848189048098106,2026-01-19T19:20:00+00:00,1143189.8575128184,30153.6786302786,929.4511839009255,5.602809323148443,1154.5138564842257,1.0,0.3523886489784622,0.00010941547308096616
published_rpp_fluka_digitized,false_mcu_aware_logE_linear,low_energy_conservative,1.0,16971,0.0073742593199754725,0.012497026331824682,1.3455743914413944e-06,8.637210389591629e-05,0.0027777123654066827,0.46857598129207034,2026-01-19T19:20:00+00:00,743177.0449560866,11577.812220541271,360.00847764292934,2.1341256059317417,3003.8438045579805,1.0,0.3523886489784622,0.00010941547308096616
main_loglog,nominal_logE_linear,K1_only,2.0,16971,0.00390678636224158,0.014906667511862289,8.93072359217071e-07,7.871950564076545e-06,0.0003810821272670493,0.047015663355158666,2026-01-19T19:20:00+00:00,1119730.0976559941,127033.31809062365,2624.106271190289,21.269507407477168,360.9755586207153,1.0,0.3278695661676456,6.084417573435228e-05
main_loglog,nominal_logE_linear,low_energy_conservative,2.0,16971,0.008151459051771325,0.01902271637759325,1.1312291425757631e-06,1.6219099678059957e-05,0.0007693192216943413,0.09889647041076707,2026-01-19T19:20:00+00:00,883994.1991973795,61655.70345145167,1299.8505325235597,10.111584324966241,749.9997047763944,1.0,0.3278695661676456,6.084417573435228e-05
main_loglog,raw_nearest_observed,K1_only,2.0,16971,0.0038899500639465344,0.014918986432149558,8.936914694125354e-07,7.877040765965208e-06,0.0003782648608456344,0.046862121488234126,2026-01-19T19:20:00+00:00,1118954.3978274136,126951.22822275576,2643.6502660184674,21.339196097877778,359.4369144685441,1.0,0.3278695661676456,6.084417573435228e-05
main_loglog,raw_nearest_observed,low_energy_conservative,2.0,16971,0.008134350198981217,0.01903560632020797,1.131640182785668e-06,1.62178526632808e-05,0.0007661713062730812,0.09874292854384253,2026-01-19T19:20:00+00:00,883673.1102446187,61660.444250065375,1305.1911391257152,10.127307491756163,748.4610606242233,1.0,0.3278695661676456,6.084417573435228e-05
main_loglog,false_mcu_aware_logE_linear,K1_only,2.0,16971,0.0033385799873626317,0.014355912051046034,8.612712681973361e-07,6.750969048200387e-06,0.0003259875711336283,0.04003839355599121,2026-01-19T19:20:00+00:00,1161074.3756645068,148126.88265347196,3067.6016159833334,24.976027037687263,308.64965710209293,1.0,0.3278695661676456,6.084417573435228e-05
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,2.0,16971,0.007578438954161531,0.01846768964082395,1.0997062848550045e-06,1.5102278321827059e-05,0.0007169115055479001,0.09191920061159961,2026-01-19T19:20:00+00:00,909333.7137123385,66215.17486899426,1394.872299107195,10.879119850328708,697.6738032577722,1.0,0.3278695661676456,6.084417573435228e-05
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,2.0,16971,0.0036411523387908117,0.01213732004325777,7.852239462849633e-07,7.98206752090318e-06,0.00038405008517283475,0.04790440156321246,2026-01-19T19:20:00+00:00,1273522.0375425138,125280.82447075678,2603.8270491463845,20.874908512956697,366.4481674959243,1.0,0.35001805002035374,6.534243075672024e-05
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,2.0,16971,0.008171245835768266,0.01655614137374178,1.061713139671739e-06,1.7634631414041228e-05,0.0008351851154074878,0.10821253970081446,2026-01-19T19:20:00+00:00,941873.9983845172,56706.60058161293,1197.3393461545334,9.241073195073284,818.6648334132823,1.0,0.35001805002035374,6.534243075672024e-05
