sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,regime,horizon,duration_s,hazard_upper,F_D_upper,window_start_utc,window_end_utc
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p99_constant,24h,86400,51906.893211287104,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,max_actual_contiguous_window,24h,86400,551446.1844176698,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,background_median_constant,7d,604800,2931.0331096728587,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p95_constant,7d,604800,81332.67429625793,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p99_constant,7d,604800,363348.25247900974,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,max_actual_contiguous_window,7d,604800,595357.039944552,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,background_median_constant,30d,2592000,12561.570470026536,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p95_constant,30d,2592000,348568.6041268197,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,p99_constant,30d,2592000,1557206.7963386131,1.0,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,raw_nearest_observed,low_energy_conservative,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,668117.0064087083,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,background_median_constant,5min,300,0.3846081799060575,0.3192826973239821,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p95_constant,5min,300,10.787751316158307,0.9999793490929826,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p99_constant,5min,300,48.48287093451637,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,max_actual_contiguous_window,5min,300,7575.74508217469,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,background_median_constant,1h,3600,4.61529815887269,0.9901007685767724,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p95_constant,1h,3600,129.45301579389968,1.0,,
main_loglog,false_mcu_aware_logE_linear,K1_only,0.0,p99_constant,1h,3600,581.7944512141964,1.0,,
