case_id,path,region_id,retention
d5_rho=0_eps=0.01,LH,T111_E_AMBIG,0
d5_rho=0_eps=0.01,HL,T111_E_AMBIG,0
d5_rho=0_eps=0.1,LL,T000_E_EXACT,0
d5_rho=0_eps=0.1,LH,T000_E_EXACT,0
d5_rho=0_eps=0.1,HL,T000_E_EXACT,0
d5_rho=0_eps=0.1,LL,T000_E_AMBIG,0
d5_rho=0_eps=0.1,LH,T000_E_AMBIG,0
d5_rho=0_eps=0.1,HL,T000_E_AMBIG,0
d5_rho=0_eps=0.1,LL,T001_E_EXACT,0.5
d5_rho=0_eps=0.1,LH,T001_E_EXACT,0
d5_rho=0_eps=0.1,HL,T001_E_EXACT,1
d5_rho=0_eps=0.1,LL,T001_E_AMBIG,0
d5_rho=0_eps=0.1,LH,T001_E_AMBIG,0
d5_rho=0_eps=0.1,HL,T001_E_AMBIG,0
d5_rho=0_eps=0.1,LL,T010_E_EXACT,0.375
d5_rho=0_eps=0.1,LH,T010_E_EXACT,0.428571428571
d5_rho=0_eps=0.1,HL,T010_E_EXACT,0
d5_rho=0_eps=0.1,LL,T010_E_AMBIG,0
d5_rho=0_eps=0.1,LH,T010_E_AMBIG,0
d5_rho=0_eps=0.1,HL,T010_E_AMBIG,0
d5_rho=0_eps=0.1,LL,T011_E_EXACT,0.5
d5_rho=0_eps=0.1,LH,T011_E_EXACT,0.428571428571
d5_rho=0_eps=0.1,HL,T011_E_EXACT,1
d5_rho=0_eps=0.1,LL,T011_E_AMBIG,0
d5_rho=0_eps=0.1,LH,T011_E_AMBIG,0
d5_rho=0_eps=0.1,HL,T011_E_AMBIG,0
d5_rho=0_eps=0.1,LL,T110_E_EXACT,0.875
d5_rho=0_eps=0.1,LH,T110_E_EXACT,1
d5_rho=0_eps=0.1,HL,T110_E_EXACT,0
d5_rho=0_eps=0.1,LL,T110_E_AMBIG,0
d5_rho=0_eps=0.1,LH,T110_E_AMBIG,0
d5_rho=0_eps=0.1,HL,T110_E_AMBIG,0
d5_rho=0_eps=0.1,LL,T111_E_EXACT,1
d5_rho=0_eps=0.1,LH,T111_E_EXACT,1
d5_rho=0_eps=0.1,HL,T111_E_EXACT,1
d5_rho=0_eps=0.1,LL,T111_E_AMBIG,0
d5_rho=0_eps=0.1,LH,T111_E_AMBIG,0
d5_rho=0_eps=0.1,HL,T111_E_AMBIG,0
