timestamp_utc,computed_s_1,reference_s_1,relative_error
2026-01-19T09:45:00+00:00,0.008724248136745301,0.0087242481,4.211858812933042e-09
2026-01-19T09:50:00+00:00,0.009438814000008865,0.009438814,9.391473295523658e-13
2026-01-19T09:55:00+00:00,0.010360598304816993,0.010360598,2.9420791427979287e-08
2026-01-19T10:00:00+00:00,0.010575754518637336,0.010575755,4.551567838617994e-08
2026-01-19T10:05:00+00:00,0.010986646167013283,0.010986646,1.520148036183191e-08
2026-01-19T10:10:00+00:00,0.01154189840515454,0.011541898,3.510293888628067e-08
2026-01-19T10:15:00+00:00,0.01241999201809053,0.012419992,1.4565654156200817e-09
2026-01-19T10:20:00+00:00,0.01357123148746542,0.013571231,3.5919027570860804e-08
2026-01-19T10:25:00+00:00,0.013991209685980563,0.01399121,2.244405145725266e-08
2026-01-19T10:30:00+00:00,0.014350218743764936,0.014350219,1.7855829546323314e-08
2026-01-19T10:35:00+00:00,0.01491810757479568,0.014918108,2.8502563439722762e-08
2026-01-19T10:40:00+00:00,0.01981454936448354,0.019814549,1.839474320467208e-08
2026-01-19T10:45:00+00:00,0.021665642306728607,0.021665642,1.415737450986613e-08
2026-01-19T10:50:00+00:00,0.02453335750412223,0.024533358,2.0212388898063258e-08
2026-01-19T10:55:00+00:00,0.026017106811951893,0.026017107,7.22786389489609e-09
2026-01-19T11:00:00+00:00,0.023062878565196294,0.023062879,1.8852967442960796e-08
2026-01-19T11:05:00+00:00,0.020094496314059133,0.020094496,1.5629112213938023e-08
2026-01-19T11:10:00+00:00,0.016637977658094168,0.016637978,2.0549722658988413e-08
2026-01-19T11:15:00+00:00,0.016395858994634326,0.016395859,3.272578267197749e-10
2026-01-19T11:20:00+00:00,0.016487152821346086,0.016487153,1.0835946908403114e-08
2026-01-19T11:25:00+00:00,0.018720988776279812,0.018720989,1.1950233409584564e-08
2026-01-19T11:30:00+00:00,0.01982464415373062,0.019824644,7.75452119000561e-09
2026-01-19T11:35:00+00:00,0.021684217214315682,0.021684217,9.88348729657588e-09
2026-01-19T11:40:00+00:00,0.02396161459389218,0.023961615,1.6948265695499583e-08
2026-01-19T11:45:00+00:00,0.02420227273201405,0.024202273,1.1072759546332402e-08
2026-01-19T11:50:00+00:00,0.024148207525631522,0.024148208,1.964404474757619e-08
2026-01-19T11:55:00+00:00,0.023640688593369336,0.023640689,1.7200457362682096e-08
2026-01-19T12:00:00+00:00,0.022454997352809185,0.022454997,1.5711833969293135e-08
2026-01-19T12:05:00+00:00,0.02134596062870031,0.021345961,1.739437680559737e-08
2026-01-19T12:10:00+00:00,0.01960072671549059,0.019600727,1.4515247780734357e-08
2026-01-19T12:15:00+00:00,0.017477403224533693,0.017477403,1.2847085675212636e-08
2026-01-19T12:20:00+00:00,0.016466544412965807,0.016466544,2.5079082009175867e-08
2026-01-19T12:25:00+00:00,0.016222245610634532,0.016222246,2.4001945658559574e-08
2026-01-19T12:30:00+00:00,0.01636794007914779,0.01636794,4.835537582443884e-09
2026-01-19T12:35:00+00:00,0.0158578015207487,0.015857802,3.022179882420804e-08
2026-01-19T12:40:00+00:00,0.015370857616978283,0.015370858,2.4918694634603084e-08
2026-01-19T12:45:00+00:00,0.015403978654026063,0.015403979,2.2460036916390945e-08
2026-01-19T12:50:00+00:00,0.015983145725485523,0.015983146,1.717524679572614e-08
