dwell,policy,trials,failures,F,F_CI95_low,F_CI95_high,F_family95_upper,survivors,passes_given_survival,passes_CI95_low,passes_CI95_high,stop_passes_mean,busy_given_survival,busy_stop_mean,reads_stop_mean,writes_stop_mean,updates_given_survival
300,known_D_RES003_diagnostic,20000,1573,0.07865,0.07495570626022685,0.08246731706766872,0.08439101155891889,18427,1814.7443968090301,1808.59691246779,1820.8918811502704,1760.85165,342.52153571311663,332.35037298112235,3692781922.0126,3692781922.00685,1814.7443968090301
1000,learning,20000,1360,0.068,0.06454902995132232,0.07157717934925059,0.07338237960522088,18640,2065.6521995708154,2055.7807655115184,2075.5236336301123,2019.66885,389.8787977470901,381.2004729966741,4235560811.07435,4235560811.0686,2065.6521995708154
1000,frozen_uncertainty,20000,1333,0.06665,0.06323153138605589,0.07019508337402233,0.07198444005869672,18667,2385.128301280334,2377.725476424058,2392.5311261366105,2327.86305,450.177892855799,439.37021477307064,4881891275.2566,4881891275.2507,2385.128301280334
1000,Fixed,20000,1244,0.0622,0.0588916131257118,0.0656363412506141,0.06737200934677959,18756,3600.0,3600.0,3600.0,3488.8704,679.477248,658.5029933524681,7316699926.13875,7316699926.13305,0.0
1000,Precomputed,20000,1850,0.0925,0.08851905594323846,0.0965998497341026,0.09866284815489082,18150,2700.0,2700.0,2700.0,2532.607,509.6079359999999,478.0142954449277,5311269949.38815,5311269949.38305,0.0
1000,PA_DOM_one_setting,20000,1420,0.071,0.0674782063017967,0.07464710338420757,0.07648681549066004,18580,3091.8886975242194,3076.8361734205796,3106.9412216278592,2990.5197,583.5826852647406,564.4502270556673,6271669189.51695,6271669189.42505,3091.8001614639397
1000,known_D_RES003_diagnostic,20000,1664,0.0832,0.0794081377585331,0.08711353012912805,0.08908467680381264,18336,1728.6962805410121,1717.4382313596088,1739.9543297224154,1685.38595,326.28049759162303,318.10669770341394,3534518863.3714,3534518863.36585,1728.6962805410121
3000,learning,20000,1289,0.06445,0.06108537417021053,0.06794190225030541,0.06970500406879704,18711,2016.1938966383411,2001.6327973527048,2030.7549959239775,1987.6003,380.5438556450601,375.14769792230453,4168307754.6921,4168307754.6871,2016.1938966383411
3000,frozen_uncertainty,20000,1269,0.06345,0.06011021946770177,0.06691735810299311,0.06866834152904036,18731,2366.625540547755,2355.849389768619,2377.401691326891,2322.067,446.68561370497247,438.27615827391446,4869735091.9322,4869735091.9272,2366.625540547755
3000,Fixed,20000,1192,0.0596,0.05635815593547944,0.06297058359299959,0.06467377818676176,18808,3600.0,3600.0,3600.0,3494.0209,679.477248,659.4750977550557,7327501086.1672,7327501086.16185,0.0
