dwell,source_row_zero_based,time_start,period,time_end,own_correction_count,posterior_high_probability,posterior_pending_mean,slack_after,expected_value_increment,interval_pair_reward,potential_before,next_period
300,114,114.0,1.0,115.0,1.0,0.9596984414143128,0.5548420849305338,0.023324804475853084,0.0,4.239045924338511e-05,0.10054593201073789,1.0
300,115,115.0,1.0,116.0,0.0,0.05004643942725726,0.028827836387753956,0.023324804475853084,0.0,4.073014267182323e-05,0.10027481536080875,2.0
300,116,116.0,2.0,118.0,0.0,0.0008312220259559178,0.0003686034764251275,0.023321149770960156,3.6547048929275183e-06,8.102031428922153e-06,0.09444878512737559,10.0
300,117,118.0,10.0,128.0,0.0,0.000830974279007633,0.000368460214066926,0.02328640743013527,3.4742340824886475e-05,4.1694830969217255e-05,0.09408859456861121,10.0
300,186,808.0,10.0,818.0,0.0,0.0008309742790076328,0.00036846021406692595,0.020889239178542594,3.47415688636693e-05,4.1693957047478155e-05,0.07703678971828701,10.0
300,187,818.0,10.0,828.0,22.0,0.9788135800398371,0.5658898878302031,0.020854497609678932,3.4741568863662364e-05,4.1693957047478155e-05,0.07678966214729505,1.0
300,188,828.0,1.0,829.0,10.0,0.999121703547058,0.5776289106499268,0.020854497609678932,0.0,4.154064188327344e-05,0.08278336644039802,1.0
300,196,836.0,1.0,837.0,0.0,0.5819044367395726,0.3363804881995459,0.020854497609678953,0.0,4.238096538513758e-05,0.08273992679387374,1.0
300,197,837.0,1.0,838.0,0.0,0.0038589045291983837,0.002119393701300859,0.02085449760967896,-6.938893903907228e-18,2.4711439296765947e-05,0.08005940995285082,10.0
300,198,838.0,10.0,848.0,0.0,0.0008309742790076332,0.0003684602140669261,0.02081032123413934,4.417637553962017e-05,5.2374912306380665e-05,0.0763494708032654,10.0
300,1654,3531.0,30.0,3561.0,0.0,0.0008309742790076329,0.0003684602140669259,0.00245472522591337,0.0009615569012550774,0.0010213065632909345,0.0037072500493856814,300.0
3000,0,0.0,1.0,1.0,3.0,0.9995731382748848,0.5777855616742646,0.023257837470305534,-2.7755575615628914e-17,1.7886452546582305e-05,0.09979817547854715,1.0
3000,1,1.0,1.0,2.0,5.0,0.9997692293897482,0.5778987366144734,0.023257837470305548,-1.3877787807814457e-17,4.25023036527023e-05,0.12875796464375922,1.0
3000,2,2.0,1.0,3.0,4.0,0.999657337713145,0.5778341794980123,0.023257837470305576,-2.7755575615628914e-17,4.251064114999118e-05,0.12874614654915706,1.0
3000,1141,1141.0,1.0,1142.0,0.0,0.9193044858679444,0.531387414985832,0.02325783747032288,-1.3877787807814457e-17,4.251314833929004e-05,0.10123898866343088,1.0
3000,1142,1142.0,1.0,1143.0,0.0,0.02439059180004882,0.014090025773396202,0.02325783747032288,0.0,3.908955283098112e-05,0.09707431820097617,10.0
3000,1143,1143.0,10.0,1153.0,0.0,8.315965572541126e-05,3.932070549281192e-05,0.02317627124722699,8.156622309589065e-05,9.257997269164875e-05,0.05105439255506418,30.0
3000,1144,1153.0,30.0,1183.0,0.0,8.315965572541122e-05,3.93207054928119e-05,0.023073421699380054,0.00010284954784693656,0.00010919427963001477,0.04955235898009874,30.0
3000,1177,2143.0,30.0,2173.0,0.0,8.315965572541122e-05,3.93207054928119e-05,0.01967938662064326,0.00010284954783300326,0.00010919427963001474,0.030942294446781787,30.0
3000,1178,2173.0,30.0,2203.0,0.0,8.315965572541122e-05,3.93207054928119e-05,0.019576537072810846,0.00010284954783241346,0.00010919427963001474,0.0304454897087584,60.0
3000,1179,2203.0,60.0,2263.0,0.0,8.315965572541129e-05,3.9320705492811925e-05,0.018745301036840026,0.0008312360359708192,0.0008564304170610938,0.029953612261210405,60.0
3000,1194,3103.0,60.0,3163.0,0.0,8.315965572541129e-05,3.9320705492811925e-05,0.006276760497644723,0.0008312360359202784,0.0008564304170610942,0.008680424139681706,60.0
3000,1195,3163.0,60.0,3223.0,295.0,0.990894876439365,0.5727688687174909,0.0054455244617290215,0.000831236035915702,0.0008564304170610942,0.007507941907554365,1.0
3000,1196,3223.0,1.0,3224.0,4.0,0.9996573386044831,0.5778341799950392,0.0054455244617290215,0.0,4.213333365680327e-05,0.02042119567266887,1.0
3000,1495,3596.0,2.0,3598.0,12.0,0.9997526514899758,0.5778890411285195,8.374491177170422e-05,7.150031066972861e-05,0.00015650602282173964,0.00032520004258801573,300.0
