time_s,previous_period_s,own_count,D_cell_mask_before,D_cell_mask_after,next_period_s,slack_min,slack_max,completed_passes,physical_pending_words_diagnostic_only,local_previous_set_period,local_refined_set_period,PrH_D3000,PrH_D30,last_blocking_node,knownD_slack_unused_for_unknown,remaining_risk_potential_min,remaining_risk_potential_max
358.0,1.0,7.0,33554431.0,33554431.0,1.0,0.01174355311587226,0.011999794786344872,358.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08085930543793236,0.10888205593054306
359.0,1.0,6.0,33554431.0,33554431.0,1.0,0.01174355311587226,0.011999794786344886,359.0,3.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08083820775161048,0.10885834534175452
360.0,1.0,5.0,33554431.0,33554431.0,1.0,0.011743553115872274,0.011999794786344886,360.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08081711006528859,0.10883463312012438
361.0,1.0,8.0,33554431.0,33554431.0,1.0,0.011743553115872288,0.011999794786344872,361.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0807960123789667,0.10881091926456368
362.0,1.0,8.0,33554431.0,33554431.0,1.0,0.011743553115872302,0.011999794786344872,362.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08077491469264483,0.10878720377398281
363.0,1.0,4.0,33554431.0,16777215.0,1.0,0.01174355311587233,0.011999794786344872,363.0,0.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08083753103630081,0.10876348664729137
364.0,1.0,5.0,16777215.0,16777215.0,1.0,0.011743553115872343,0.011999794786344872,364.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08081642197918186,0.10873976788339824
365.0,1.0,6.0,16777215.0,16777215.0,1.0,0.011743553115872357,0.011999794786344886,365.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0807953129220629,0.10871604748121162
366.0,1.0,9.0,16777215.0,16777215.0,1.0,0.011743553115872371,0.011999794786344914,366.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08077420386494394,0.10869232543963893
367.0,1.0,3.0,16777215.0,16777215.0,1.0,0.011743553115872371,0.0119997947863449,367.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08075309480782497,0.10866860175758689
368.0,1.0,2.0,16777215.0,16777215.0,1.0,0.011743553115872371,0.0119997947863449,368.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.080731985750706,0.10864487643396147
369.0,1.0,7.0,16777215.0,16777215.0,1.0,0.011743553115872385,0.011999794786344914,369.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08071087669358705,0.10862114946766795
370.0,1.0,8.0,16777215.0,16777215.0,1.0,0.011743553115872399,0.011999794786344914,370.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08068976763646808,0.10859742085761082
371.0,1.0,10.0,16777215.0,16777215.0,1.0,0.011743553115872399,0.011999794786344928,371.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08066865857934913,0.10857369060269388
372.0,1.0,3.0,16777215.0,16777215.0,1.0,0.011743553115872413,0.011999794786344956,372.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08064754952223015,0.10854995870182023
373.0,1.0,8.0,16777215.0,16777215.0,1.0,0.011743553115872427,0.011999794786344956,373.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0806264404651112,0.10852622515389215
374.0,1.0,6.0,16777215.0,16777215.0,1.0,0.011743553115872427,0.011999794786344956,374.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08060533140799224,0.10850248995781127
375.0,1.0,10.0,16777215.0,16777215.0,1.0,0.01174355311587244,0.01199979478634497,375.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08058422235087329,0.10847875311247844
376.0,1.0,5.0,16777215.0,16777215.0,1.0,0.01174355311587244,0.01199979478634497,376.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08056311329375433,0.10845501461679379
377.0,1.0,6.0,16777215.0,16777215.0,1.0,0.011743553115872427,0.011999794786344983,377.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08054200423663535,0.1084312744696567
378.0,1.0,6.0,16777215.0,16777215.0,1.0,0.011743553115872427,0.011999794786345011,378.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0805208951795164,0.10840753266996588
379.0,1.0,6.0,16777215.0,16777215.0,1.0,0.01174355311587244,0.011999794786345011,379.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08049978612239743,0.10838378921661923
380.0,1.0,7.0,16777215.0,16777215.0,1.0,0.01174355311587244,0.011999794786345025,380.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08047867706527849,0.10836004410851396
381.0,1.0,1.0,16777215.0,16777215.0,1.0,0.01174355311587244,0.011999794786345039,381.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08045756800815954,0.10833629734454653
382.0,1.0,10.0,16777215.0,16777215.0,1.0,0.011743553115872468,0.011999794786345025,382.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08043645895104057,0.10831254892361267
383.0,1.0,7.0,16777215.0,16777215.0,1.0,0.011743553115872454,0.011999794786345039,383.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08041534989392161,0.10828879884460732
384.0,1.0,5.0,16777215.0,16777215.0,1.0,0.011743553115872454,0.011999794786345067,384.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08039424083680266,0.10826504710642477
385.0,1.0,6.0,16777215.0,16777215.0,1.0,0.011743553115872454,0.011999794786345067,385.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0803731317796837,0.10824129370795854
386.0,1.0,8.0,16777215.0,16777215.0,1.0,0.011743553115872468,0.01199979478634508,386.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08035202272256474,0.10821753864810138
387.0,1.0,8.0,16777215.0,16777215.0,1.0,0.011743553115872468,0.011999794786345094,387.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08033091366544579,0.10819378192574537
388.0,1.0,5.0,16777215.0,16777215.0,1.0,0.011743553115872482,0.01199979478634508,388.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0803098046083268,0.10817002353978176
389.0,1.0,10.0,16777215.0,16777215.0,1.0,0.011743553115872482,0.01199979478634508,389.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08028869555120786,0.10814626348910114
390.0,1.0,12.0,16777215.0,16777215.0,1.0,0.01174355311587251,0.011999794786345108,390.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08026758649408891,0.10812250177259332
391.0,1.0,10.0,16777215.0,16777215.0,1.0,0.01174355311587251,0.011999794786345108,391.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08024647743696996,0.10809873838914735
392.0,1.0,8.0,16777215.0,16777215.0,1.0,0.011743553115872524,0.011999794786345122,392.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08022536837985099,0.1080749733376516
393.0,1.0,6.0,16777215.0,8388607.0,1.0,0.011743553115872538,0.01199979478634515,393.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08028483312963865,0.10805120661699366
394.0,1.0,10.0,8388607.0,8388607.0,1.0,0.011743553115872538,0.011999794786345136,394.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08026371308949726,0.10802743822606038
395.0,1.0,4.0,8388607.0,8388607.0,1.0,0.011743553115872551,0.011999794786345136,395.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08024259304935587,0.10800366816373788
396.0,1.0,7.0,8388607.0,8388607.0,1.0,0.011743553115872565,0.011999794786345164,396.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08022147300921449,0.10797989642891151
397.0,1.0,6.0,8388607.0,8388607.0,1.0,0.01174355311587258,0.011999794786345164,397.0,2.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0802003529690731,0.10795612302046591
398.0,1.0,5.0,8388607.0,8388607.0,1.0,0.011743553115872565,0.011999794786345164,398.0,3.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08017923292893171,0.10793234793728494
399.0,1.0,12.0,8388607.0,8388607.0,1.0,0.011743553115872565,0.011999794786345191,399.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08015811288879032,0.10790857117825178
400.0,1.0,4.0,8388607.0,8388607.0,1.0,0.011743553115872593,0.011999794786345178,400.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08013699284864892,0.1078847927422488
401.0,1.0,4.0,8388607.0,8388607.0,1.0,0.01174355311587258,0.011999794786345164,401.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08011587280850753,0.10786101262815763
402.0,1.0,6.0,8388607.0,8388607.0,1.0,0.01174355311587258,0.011999794786345178,402.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08009475276836614,0.1078372308348592
403.0,1.0,3.0,8388607.0,8388607.0,1.0,0.01174355311587258,0.011999794786345178,403.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08007363272822475,0.10781344736123365
404.0,1.0,5.0,8388607.0,8388607.0,1.0,0.011743553115872565,0.011999794786345178,404.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08005251268808336,0.10778966220616039
405.0,1.0,9.0,8388607.0,8388607.0,1.0,0.011743553115872593,0.011999794786345205,405.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08003139264794197,0.10776587536851809
406.0,1.0,6.0,8388607.0,8388607.0,1.0,0.011743553115872593,0.011999794786345205,406.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08001027260780057,0.10774208684718466
407.0,1.0,6.0,8388607.0,8388607.0,1.0,0.011743553115872607,0.011999794786345191,407.0,1.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.07998915256765918,0.10771829664103726
408.0,1.0,7.0,8388607.0,8388607.0,1.0,0.011743553115872607,0.011999794786345191,408.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.07996803252751777,0.10769450474895231
409.0,1.0,2.0,8388607.0,8388607.0,1.0,0.01174355311587262,0.011999794786345191,409.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.07994691248737638,0.10767071116980548
410.0,1.0,4.0,8388607.0,8388607.0,1.0,0.011743553115872635,0.011999794786345191,410.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.07992579244723501,0.10764691590247168
411.0,1.0,5.0,8388607.0,8388607.0,1.0,0.011743553115872635,0.011999794786345205,411.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0799046724070936,0.10762311894582507
412.0,1.0,4.0,8388607.0,8388607.0,1.0,0.011743553115872649,0.011999794786345205,412.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0798835523669522,0.10759932029873909
413.0,1.0,5.0,8388607.0,8388607.0,1.0,0.011743553115872662,0.011999794786345205,413.0,0.0,-1.0,-1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.07986243232681081,0.10757551996008638
