policy,first,second,grid,D,lower,upper,passes
Precomputed,1,0.5,18,81.62397704325646,0.04451266291726171,0.046628252760259316,5400
Precomputed,1,0.5,19,74.54682229610037,0.04449839923505806,0.04661331115633145,5400
Precomputed,1,0.5,20,68.35172659309363,0.04448350473924247,0.046597708757595696,5400
Precomputed,1,0.5,21,62.89797506193567,0.04446798152111515,0.04658144775474716,5400
Precomputed,1,0.5,22,58.071833648393195,0.04445183175756396,0.04656453042813646,5400
Precomputed,1,0.5,23,53.78057106843367,0.04443505771042527,0.04654695914710011,5400
Precomputed,1,0.5,24,49.947970863683665,0.04441766172582072,0.046528736369265807,5400
Precomputed,1,0.5,25,46.510923708156064,0.04439964623347045,0.04650986463983299,5400
Precomputed,1,0.5,26,43.416812708462885,0.04438101374598291,0.0464903465908289,5400
Precomputed,1,0.5,27,40.62148760330579,0.04436176685812174,0.04647018494034065,5400
Precomputed,1,0.5,28,38.08768101567149,0.044341908246049964,0.04644938249172347,5400
Precomputed,1,0.5,29,35.78375985742408,0.04432144066655196,0.04642794213278566,5400
Precomputed,1,0.5,30,33.68273321345555,0.04430036695623335,0.04640586683495055,5400
Precomputed,1,0.5,31,31.76145821486544,0.04427869003069948,0.04638315965239583,5400
Precomputed,1,0.5,32,30.0,0.04425641288371258,0.04635982372117075,5400
Precomputed,1,1,0,3000.0,0.05864119188866082,0.0623761444824153,3600
Precomputed,1,1,1,1827.4836406900654,0.05863701292400193,0.0623716993527214,3600
Precomputed,1,1,2,1228.8,0.058631804780857,0.06236615949449495,3600
Precomputed,1,1,3,882.5050272910083,0.05862556828257341,0.062359525783523655,3600
Precomputed,1,1,4,664.3598615916954,0.05861830441478075,0.06235179926821345,3600
Precomputed,1,1,5,518.1312194299207,0.05861001432507929,0.062342981169257135,3600
Precomputed,1,1,6,415.3596538669551,0.05860069932267746,0.062333072879248747,3600
Precomputed,1,1,7,340.387811634349,0.05859036087797841,0.06232207596224379,3600
Precomputed,1,1,8,284.02366863905326,0.05857900062211593,0.0623099921532656,3600
Precomputed,1,1,9,240.5826611324301,0.05856662034643988,0.06229682335775805,3600
Precomputed,1,1,10,206.39613007256114,0.05855322200195153,0.06228257165098481,3600
Precomputed,1,1,11,179.0105471709108,0.05853880769868891,0.062267239277375666,3600
Precomputed,1,1,12,156.73469387755102,0.058523379705062537,0.06225082864981987,3600
Precomputed,1,1,13,138.3721453988559,0.05850694044714191,0.062233342348907233,3600
Precomputed,1,1,14,123.05720237141483,0.05848949250789304,0.06221478312211706,3600
Precomputed,1,1,15,110.15095557388217,0.05847103862636745,0.062195153882955496,3600
Precomputed,1,1,16,99.17355371900827,0.05845158169684293,0.06217445771004159,3600
Precomputed,1,1,17,89.75894813732651,0.05843112476791664,0.062152697846142586,3600
Precomputed,1,1,18,81.62397704325646,0.05840967104155082,0.06212987769715889,3600
Precomputed,1,1,19,74.54682229610037,0.05838722387207172,0.06210600083105924,3600
Precomputed,1,1,20,68.35172659309363,0.05836378676512214,0.062081070976766496,3600
Precomputed,1,1,21,62.89797506193567,0.05833936337656813,0.06205509202299476,3600
Precomputed,1,1,22,58.071833648393195,0.05831395751136038,0.06202806801703819,3600
Precomputed,1,1,23,53.78057106843367,0.05828757312235084,0.0620000031635123,3600
Precomputed,1,1,24,49.947970863683665,0.05826021430906513,0.061970901823048125,3600
Precomputed,1,1,25,46.510923708156064,0.05823188531643137,0.061940768510940145,3600
Precomputed,1,1,26,43.416812708462885,0.058202590533465985,0.06190960789574837,3600
Precomputed,1,1,27,40.62148760330579,0.05817233449191722,0.06187742479785542,3600
Precomputed,1,1,28,38.08768101567149,0.058141121864866856,0.061844224187979246,3600
Precomputed,1,1,29,35.78375985742408,0.058108957465290954,0.06181001118564215,3600
Precomputed,1,1,30,33.68273321345555,0.05807584624458025,0.061774791057596985,3600
Precomputed,1,1,31,31.76145821486544,0.058041793291020854,0.06173856921621104,3600
Precomputed,1,1,32,30.0,0.058006803828236086,0.06170135121780868,3600
Precomputed,1,2,0,3000.0,0.08532358718672685,0.09355871787025391,2700
Precomputed,1,2,1,1827.4836406900654,0.08531345567472717,0.09354760850057045,2700
Precomputed,1,2,2,1228.8,0.08530083144042437,0.09353376581984865,2700
Precomputed,1,2,3,882.5050272910083,0.08528571807378114,0.09351719376454173,2700
Precomputed,1,2,4,664.3598615916954,0.08526811987010571,0.09349789704452585,2700
Precomputed,1,2,5,518.1312194299207,0.08524804182749066,0.0934758811402918,2700
Precomputed,1,2,6,415.3596538669551,0.08522548964383493,0.09345115229967957,2700
Precomputed,1,2,7,340.387811634349,0.0852004697134521,0.09342371753415923,2700
Precomputed,1,2,8,284.02366863905326,0.08517298912326782,0.09339358461466146,2700
Precomputed,1,2,9,240.5826611324301,0.08514305564861037,0.09336076206696169,2700
Precomputed,1,2,10,206.39613007256114,0.08511067774859807,0.09332525916662238,2700
Precomputed,1,2,11,179.0105471709108,0.085075864561128,0.09328708593349815,2700
Precomputed,1,2,12,156.73469387755102,0.08503862589747092,0.09324625312580882,2700
Precomputed,1,2,13,138.3721453988559,0.08499897223647714,0.0932027722337863,2700
Precomputed,1,2,14,123.05720237141483,0.0849569147183992,0.09315665547290088,2700
Precomputed,1,2,15,110.15095557388217,0.08491246513833699,0.09310791577667372,2700
Precomputed,1,2,16,99.17355371900827,0.08486563593931139,0.09305656678908207,2700
Precomputed,1,2,17,89.75894813732651,0.08481644020497309,0.09300262285656428,2700
Precomputed,1,2,18,81.62397704325646,0.08476489165195332,0.09294609901963227,2700
Precomputed,1,2,19,74.54682229610037,0.08471100462186364,0.0928870110040992,2700
Precomputed,1,2,20,68.35172659309363,0.08465479407295218,0.09282537521193039,2700
Precomputed,1,2,21,62.89797506193567,0.08459627557142427,0.0927612087117262,2700
Precomputed,1,2,22,58.071833648393195,0.08453546528243523,0.09269452922884552,2700
Precomputed,1,2,23,53.78057106843367,0.08447237996076376,0.09262535513517904,2700
Precomputed,1,2,24,49.947970863683665,0.08440703694117462,0.09255370543858163,2700
Precomputed,1,2,25,46.510923708156064,0.08433945412847914,0.09247959977197369,2700
Precomputed,1,2,26,43.416812708462885,0.08426964998730303,0.0924030583821212,2700
Precomputed,1,2,27,40.62148760330579,0.08419764353157036,0.09232410211810495,2700
Precomputed,1,2,28,38.08768101567149,0.08412345431371368,0.09224275241948905,2700
Precomputed,1,2,29,35.78375985742408,0.08404710241361965,0.09215903130419976,2700
Precomputed,1,2,30,33.68273321345555,0.08396860842732046,0.09207296135612542,2700
Precomputed,1,2,31,31.76145821486544,0.08388799345544079,0.09198456571244834,2700
Precomputed,1,2,32,30.0,0.08380527909141104,0.0918938680507204,2700
Precomputed,1,5,0,3000.0,0.15603550192107782,0.1870649032137643,2160
Precomputed,1,5,1,1827.4836406900654,0.15598737907682153,0.18700721060475967,2160
Precomputed,1,5,2,1228.8,0.15592746007962488,0.18693537604612873,2160
Precomputed,1,5,3,882.5050272910083,0.15585579070322253,0.1868494544142242,2160
Precomputed,1,5,4,664.3598615916954,0.15577242561605467,0.18674951124891592,2160
Precomputed,1,5,5,518.1312194299207,0.1556774282958212,0.1866356226511529,2160
Precomputed,1,5,6,415.3596538669551,0.15557087093046024,0.18650787516425057,2160
Precomputed,1,5,7,340.387811634349,0.15545283430579238,0.1863663656391917,2160
Precomputed,1,5,8,284.02366863905326,0.1553234076801042,0.1862112010842695,2160
Precomputed,1,5,9,240.5826611324301,0.1551826886459748,0.18604249849943683,2160
Precomputed,1,5,10,206.39613007256114,0.15503078297967982,0.18586038469576244,2160
Precomputed,1,5,11,179.0105471709108,0.15486780447853543,0.18566499610042905,2160
Precomputed,1,5,12,156.73469387755102,0.1546938747865731,0.18545647854774164,2160
Precomputed,1,5,13,138.3721453988559,0.15450912320896182,0.18523498705664543,2160
Precomputed,1,5,14,123.05720237141483,0.15431368651561947,0.18500068559528315,2160
Precomputed,1,5,15,110.15095557388217,0.15410770873447865,0.18475374683314952,2160
Precomputed,1,5,16,99.17355371900827,0.1538913409348941,0.18449435188142674,2160
Precomputed,1,5,17,89.75894813732651,0.15366474100169927,0.18422269002210978,2160
Precomputed,1,5,18,81.62397704325646,0.1534280734004386,0.1839389584265524,2160
Precomputed,1,5,19,74.54682229610037,0.1531815089343185,0.18364336186408522,2160
Precomputed,1,5,20,68.35172659309363,0.1529252244934364,0.1833361124013761,2160
Precomputed,1,5,21,62.89797506193567,0.15265940279685958,0.18301742909321833,2160
Precomputed,1,5,22,58.071833648393195,0.15238423212813834,0.182687537665448,2160
Precomputed,1,5,23,53.78057106843367,0.15209990606484752,0.18234667019070147,2160
Precomputed,1,5,24,49.947970863683665,0.15180662320275853,0.18199506475773608,2160
Precomputed,1,5,25,46.510923708156064,0.15150458687525048,0.18163296513504307,2160
Precomputed,1,5,26,43.416812708462885,0.15119400486857348,0.18126062042948782,2160
Precomputed,1,5,27,40.62148760330579,0.15087508913357994,0.18087828474071563,2160
Precomputed,1,5,28,38.08768101567149,0.15054805549454006,0.1804862168120619,2160
Precomputed,1,5,29,35.78375985742408,0.1502131233556573,0.18008467967870506,2160
Precomputed,1,5,30,33.68273321345555,0.1498705154058968,0.17967394031379674,2160
Precomputed,1,5,31,31.76145821486544,0.14952045732273478,0.17925426927329843,2160
Precomputed,1,5,32,30.0,0.14916317747543154,0.17882594034024693,2160
Precomputed,1,10,0,3000.0,0.24799409058720553,0.342770303505697,1980
Precomputed,1,10,1,1827.4836406900654,0.24783230480119273,0.3425466878427463,1980
Precomputed,1,10,2,1228.8,0.24763110565885962,0.34226859617161287,1980
Precomputed,1,10,3,882.5050272910083,0.24739080638783773,0.34193646142652545,1980
Precomputed,1,10,4,664.3598615916954,0.2471117799810219,0.34155079914754166,1980
Precomputed,1,10,5,518.1312194299207,0.2467944580308788,0.341112205869363,1980
Precomputed,1,10,6,415.3596538669551,0.24643932938586846,0.3406213572642792,1980
Precomputed,1,10,7,340.387811634349,0.24604693863548274,0.3400790060482318,1980
Precomputed,1,10,8,284.02366863905326,0.24561788443119797,0.33948597966008337,1980
Precomputed,1,10,9,240.5826611324301,0.2451528176513859,0.3388431777252101,1980
Precomputed,1,10,10,206.39613007256114,0.2446524394189193,0.3381515693154931,1980
Precomputed,1,10,11,179.0105471709108,0.24411749898084392,0.3374121900186623,1980
Precomputed,1,10,12,156.73469387755102,0.24354879146006467,0.3366261388307412,1980
Precomputed,1,10,13,138.3721453988559,0.2429471554895021,0.3357945748860465,1980
Precomputed,1,10,14,123.05720237141483,0.24231347073962178,0.33491871403980983,1980
Precomputed,1,10,15,110.15095557388217,0.241648655350612,0.3339998253190078,1980
Precomputed,1,10,16,99.17355371900827,0.24095366328079126,0.3330392272574071,1980
Precomputed,1,10,17,89.75894813732651,0.24022948158305876,0.3320382841311524,1980
Precomputed,1,10,18,81.62397704325646,0.2394771276213633,0.33099840211145004,1980
Precomputed,1,10,19,74.54682229610037,0.23869764623925463,0.32992102535102086,1980
Precomputed,1,10,20,68.35172659309363,0.23789210689259976,0.32880763202102303,1980
Precomputed,1,10,21,62.89797506193567,0.23706160075849456,0.32765973031507295,1980
Precomputed,1,10,22,58.071833648393195,0.23620723783228154,0.3264788544368267,1980
Precomputed,1,10,23,53.78057106843367,0.23533014402439834,0.3252665605873272,1980
Precomputed,1,10,24,49.947970863683665,0.2344314582685313,0.32402442296797745,1980
Precomputed,1,10,25,46.510923708156064,0.2335123296522398,0.32275402981457196,1980
Precomputed,1,10,26,43.416812708462885,0.2325739145808495,0.3214569794773114,1980
Precomputed,1,10,27,40.62148760330579,0.23161737398499269,0.3201348765611451,1980
Precomputed,1,10,28,38.08768101567149,0.23064387058170585,0.31878932814013894,1980
Precomputed,1,10,29,35.78375985742408,0.2296545661984804,0.3174219400588554,1980
Precomputed,1,10,30,33.68273321345555,0.22865061916910992,0.3160343133329679,1980
Precomputed,1,10,31,31.76145821486544,0.22763318180958814,0.3146280406605202,1980
Precomputed,1,10,32,30.0,0.22660339798169338,0.31320470305438225,1980
Precomputed,1,20,0,3000.0,0.3642900425002798,0.6536642487486919,1890
Precomputed,1,20,1,1827.4836406900654,0.36379743499624057,0.6527803379180643,1890
Precomputed,1,20,2,1228.8,0.36318629207591924,0.6516837329295005,1890
Precomputed,1,20,3,882.5050272910083,0.3624585156556793,0.6503778464887732,1890
Precomputed,1,20,4,664.3598615916954,0.3616163572705333,0.6488667186402719,1890
Precomputed,1,20,5,518.1312194299207,0.3606624041516094,0.6471549917850906,1890
Precomputed,1,20,6,415.3596538669551,0.35959956335375126,0.6452478822003677,1890
Precomputed,1,20,7,340.387811634349,0.35843104408433396,0.6431511483309772,1890
Precomputed,1,20,8,284.02366863905326,0.3571603383998256,0.6408710561523824,1890
Precomputed,1,20,9,240.5826611324301,0.35579120044991747,0.6384143419273173,1890
Precomputed,1,20,10,206.39613007256114,0.35432762446003885,0.635788172698687,1890
Precomputed,1,20,11,179.0105471709108,0.3527738216516602,0.6330001048764884,1890
Precomputed,1,20,12,156.73469387755102,0.35113419630590625,0.6300580412875262,1890
Precomputed,1,20,13,138.3721453988559,0.3494133211796164,0.6269701870631941,1890
Precomputed,1,20,14,123.05720237141483,0.3476159124841188,0.62374500474261,1890
Precomputed,1,20,15,110.15095557388217,0.3457468046356722,0.6203911689660412,1890
Precomputed,1,20,16,99.17355371900827,0.3438109249828588,0.6169175211269758,1890
Precomputed,1,20,17,89.75894813732651,0.3418132687103081,0.613333024340589,1890
Precomputed,1,20,18,81.62397704325646,0.3397588741101272,0.6096467190720073,1890
Precomputed,1,20,19,74.54682229610037,0.3376527984025023,0.6058676797499775,1890
Precomputed,1,20,20,68.35172659309363,0.33550009427529964,0.6020049726706724,1890
Precomputed,1,20,21,62.89797506193567,0.3333057872993565,0.5980676154727942,1890
Precomputed,1,20,22,58.071833648393195,0.3310748543617472,0.5940645384392792,1890
Precomputed,1,20,23,53.78057106843367,0.32881220324386606,0.5900045478532091,1890
Precomputed,1,20,24,49.947970863683665,0.32652265345494763,0.5858962916064167,1890
Precomputed,1,20,25,46.510923708156064,0.3242109184148828,0.5817482272292004,1890
Precomputed,1,20,26,43.416812708462885,0.3218815890631339,0.5775685924789641,1890
Precomputed,1,20,27,40.62148760330579,0.31953911895344295,0.5733653785948892,1890
Precomputed,1,20,28,38.08768101567149,0.3171878108770864,0.569146306295357,1890
Precomputed,1,20,29,35.78375985742408,0.31483180504087316,0.564918804565126,1890
Precomputed,1,20,30,33.68273321345555,0.312475068810103,0.5606899922505978,1890
Precomputed,1,20,31,31.76145821486544,0.31012138801147937,0.5564666624541887,1890
Precomputed,1,20,32,30.0,0.30777435977665374,0.5522552696931361,1890
Precomputed,1,30,0,3000.0,0.42628938056606264,0.9638719168369224,1860
Precomputed,1,30,1,1827.4836406900654,0.42541487236274833,0.9618945889074795,1860
Precomputed,1,30,2,1228.8,0.42433252451072984,0.959447320112221,1860
Precomputed,1,30,3,882.5050272910083,0.4230473602822398,0.9565414684423529,1860
Precomputed,1,30,4,664.3598615916954,0.4215652914466271,0.9531904008469805,1860
Precomputed,1,30,5,518.1312194299207,0.4198930640684701,0.9494093706786215,1860
Precomputed,1,30,6,415.3596538669551,0.41803819739580605,0.945215379514958,1860
Precomputed,1,30,7,340.387811634349,0.41600891669590745,0.9406270252955446,1860
Precomputed,1,30,8,284.02366863905326,0.41381408096643235,0.9356643388713553,1860
Precomputed,1,30,9,240.5826611324301,0.4114631065025924,0.9303486111844795,1860
Precomputed,1,30,10,206.39613007256114,0.4089658873356067,0.9247022133735647,1860
Precomputed,1,30,11,179.0105471709108,0.4063327135739256,0.9187484121372638,1860
Precomputed,1,30,12,156.73469387755102,0.4035741886767481,0.9125111826835199,1860
Precomputed,1,30,13,138.3721453988559,0.4007011466698432,0.9060150215483981,1860
Precomputed,1,30,14,123.05720237141483,0.397724570277627,0.8992847614866362,1860
Precomputed,1,30,15,110.15095557388217,0.39465551089418266,0.8923453905201845,1860
Precomputed,1,30,16,99.17355371900827,0.3915050112510697,0.8852218770843843,1860
Precomputed,1,30,17,89.75894813732651,0.3882840315632239,0.8779390030383684,1860
Precomputed,1,30,18,81.62397704325646,0.3850033798480401,0.8705212061113383,1860
Precomputed,1,30,19,74.54682229610037,0.38167364701902673,0.8629924331445001,1860
Precomputed,1,30,20,68.35172659309363,0.3783051472564387,0.8553760052646429,1860
Precomputed,1,30,21,62.89797506193567,0.37490786405526605,0.8476944958946372,1860
Precomputed,1,30,22,58.071833648393195,0.3714914022480323,0.8399696222734229,1860
Precomputed,1,30,23,53.78057106843367,0.3680649461981035,0.8322221509279796,1860
Precomputed,1,30,24,49.947970863683665,0.36463722426053113,0.8244718173166551,1860
Precomputed,1,30,25,46.510923708156064,0.36121647951355634,0.8167372596509254,1860
Precomputed,1,30,26,43.416812708462885,0.3578104466762911,0.8090359667045588,1860
Precomputed,1,30,27,40.62148760330579,0.35442633504800974,0.8013842392380893,1860
Precomputed,1,30,28,38.08768101567149,0.3510708172329285,0.793797164504705,1860
Precomputed,1,30,29,35.78375985742408,0.34775002335205224,0.7862886031628057,1860
Precomputed,1,30,30,33.68273321345555,0.3444695403911066,0.7788711878016282,1860
Precomputed,1,30,31,31.76145821486544,0.3412344162909625,0.7715563321900001,1860
Precomputed,1,30,32,30.0,0.3380491683542972,0.7643542502844232,1860
Precomputed,1,60,0,3000.0,0.4856720508181763,1.0,1830
Precomputed,1,60,1,1827.4836406900654,0.48366827066454643,1.0,1830
Precomputed,1,60,2,1228.8,0.48120589426541516,1.0,1830
Precomputed,1,60,3,882.5050272910083,0.4783073114159263,1.0,1830
Precomputed,1,60,4,664.3598615916954,0.47499840917993313,1.0,1830
Precomputed,1,60,5,518.1312194299207,0.4713081138827066,1.0,1830
Precomputed,1,60,6,415.3596538669551,0.4672678920462739,1.0,1830
Precomputed,1,60,7,340.387811634349,0.46291122351522174,1.0,1830
Precomputed,1,60,8,284.02366863905326,0.458273060279785,1.0,1830
Precomputed,1,60,9,240.5826611324301,0.4533892842924188,1.0,1830
Precomputed,1,60,10,206.39613007256114,0.4482961769244099,1.0,1830
Precomputed,1,60,11,179.0105471709108,0.44302991166907035,1.0,1830
Precomputed,1,60,12,156.73469387755102,0.4376260803309686,1.0,1830
Precomputed,1,60,13,138.3721453988559,0.43211926132039513,1.0,1830
Precomputed,1,60,14,123.05720237141483,0.426542636878984,1.0,1830
Precomputed,1,60,15,110.15095557388217,0.42092766417808336,1.0,1830
Precomputed,1,60,16,99.17355371900827,0.4153038033356874,1.0,1830
Precomputed,1,60,17,89.75894813732651,0.40969830356401926,1.0,1830
Precomputed,1,60,18,81.62397704325646,0.4041360469524956,1.0,1830
Precomputed,1,60,19,74.54682229610037,0.39863944786265926,1.0,1830
Precomputed,1,60,20,68.35172659309363,0.39322840460261316,1.0,1830
Precomputed,1,60,21,62.89797506193567,0.3879202989848611,1.0,1830
Precomputed,1,60,22,58.071833648393195,0.382730038566198,1.0,1830
Precomputed,1,60,23,53.78057106843367,0.37767013582184567,1.0,1830
Precomputed,1,60,24,49.947970863683665,0.37275081820777917,1.0,1830
Precomputed,1,60,25,46.510923708156064,0.3679801629953414,1.0,1830
Precomputed,1,60,26,43.416812708462885,0.36336425089389485,1.0,1830
Precomputed,1,60,27,40.62148760330579,0.35890733277866926,1.0,1830
Precomputed,1,60,28,38.08768101567149,0.3546120042776587,1.0,1830
Precomputed,1,60,29,35.78375985742408,0.3504793835082444,1.0,1830
Precomputed,1,60,30,33.68273321345555,0.3465092878570545,1.0,1830
Precomputed,1,60,31,31.76145821486544,0.3427004063337781,1.0,1830
Precomputed,1,60,32,30.0,0.339050464673143,1.0,1830
Precomputed,1,100,0,3000.0,0.4936753804156352,1.0,1818
Precomputed,1,100,1,1827.4836406900654,0.49030341394702076,1.0,1818
Precomputed,1,100,2,1228.8,0.48619861555474914,1.0,1818
Precomputed,1,100,3,882.5050272910083,0.48142143613761135,1.0,1818
Precomputed,1,100,4,664.3598615916954,0.47604012501857307,1.0,1818
Precomputed,1,100,5,518.1312194299207,0.4701288150413009,1.0,1818
Precomputed,1,100,6,415.3596538669551,0.4637655335576292,1.0,1818
Precomputed,1,100,7,340.387811634349,0.4570302203051381,1.0,1818
Precomputed,1,100,8,284.02366863905326,0.45000282746436226,1.0,1818
Precomputed,1,100,9,240.5826611324301,0.44276156772137243,1.0,1818
Precomputed,1,100,10,206.39613007256114,0.4353813638402665,1.0,1818
Precomputed,1,100,11,179.0105471709108,0.4279325391013761,1.0,1818
Precomputed,1,100,12,156.73469387755102,0.4204797730523401,1.0,1818
Precomputed,1,100,13,138.3721453988559,0.4130813323657744,1.0,1818
Precomputed,1,100,14,123.05720237141483,0.40578857308569577,1.0,1818
Precomputed,1,100,15,110.15095557388217,0.3986456988768709,1.0,1818
Precomputed,1,100,16,99.17355371900827,0.3916897505505703,1.0,1818
Precomputed,1,100,17,89.75894813732651,0.3849507953827505,1.0,1818
Precomputed,1,100,18,81.62397704325646,0.3784522806061985,1.0,1818
Precomputed,1,100,19,74.54682229610037,0.37221151379889605,1.0,1818
Precomputed,1,100,20,68.35172659309363,0.36624023341213524,1.0,1818
Precomputed,1,100,21,62.89797506193567,0.3605452349888722,1.0,1818
Precomputed,1,100,22,58.071833648393195,0.3551290222677786,1.0,1818
Precomputed,1,100,23,53.78057106843367,0.349990456894492,1.0,1818
Precomputed,1,100,24,49.947970863683665,0.3451253854387469,1.0,1818
Precomputed,1,100,25,46.510923708156064,0.34052722746852376,1.0,1818
Precomputed,1,100,26,43.416812708462885,0.3361875132554286,1.0,1818
Precomputed,1,100,27,40.62148760330579,0.33209636405348086,1.0,1818
Precomputed,1,100,28,38.08768101567149,0.3282429116590577,1.0,1818
Precomputed,1,100,29,35.78375985742408,0.3246156570473712,1.0,1818
Precomputed,1,100,30,33.68273321345555,0.3212027702756431,1.0,1818
Precomputed,1,100,31,31.76145821486544,0.3179923355775846,1.0,1818
Precomputed,1,100,32,30.0,0.31497254671386654,1.0,1818
Precomputed,1,150,0,3000.0,0.4918838997864129,1.0,1812
Precomputed,1,150,1,1827.4836406900654,0.4869098528437944,1.0,1812
Precomputed,1,150,2,1228.8,0.4809249925503021,1.0,1812
Precomputed,1,150,3,882.5050272910083,0.4740568074405241,1.0,1812
Precomputed,1,150,4,664.3598615916954,0.4664449714558171,1.0,1812
Precomputed,1,150,5,518.1312194299207,0.4582358395663459,1.0,1812
Precomputed,1,150,6,415.3596538669551,0.4495770876770891,1.0,1812
Precomputed,1,150,7,340.387811634349,0.4406127862801198,1.0,1812
Precomputed,1,150,8,284.02366863905326,0.43147913933077875,1.0,1812
Precomputed,1,150,9,240.5826611324301,0.42230104926425577,1.0,1812
Precomputed,1,150,10,206.39613007256114,0.4131895939386119,1.0,1812
Precomputed,1,150,11,179.0105471709108,0.40424042911018393,1.0,1812
Precomputed,1,150,12,156.73469387755102,0.39553306702410623,1.0,1812
