dwell,candidate,Ms,cap,growth,zero_mode,trials,seed,failures,F,upper95,passes_given_survival
1000,2,0.1,300,3,1,2000,133916001,130,0.065,0.07480075558037182,3633.1197860962566
1000,3,0.105,5,3,1,2000,133916001,156,0.078,0.08857991354695317,3123.959327548807
1000,4,0.105,20,3,1,2000,133916001,156,0.078,0.08857991354695317,3103.96420824295
1000,5,0.105,300,3,1,2000,133916001,160,0.08,0.09069217379674774,3104.183695652174
1000,6,0.11,5,3,1,2000,133916001,153,0.0765,0.0869944793091522,2993.6220898754736
1000,7,0.11,20,3,1,2000,133916001,152,0.076,0.08646575962663396,2972.8890692640693
1000,8,0.11,300,3,1,2000,133916001,155,0.0775,0.08805155519969375,2972.9349593495936
1000,9,0.115,5,3,1,2000,133916001,150,0.075,0.08540795130843805,2993.5610810810813
1000,10,0.115,20,3,1,2000,133916001,149,0.0745,0.08487886042737872,2972.7450027012424
1000,11,0.115,300,3,1,2000,133916001,152,0.076,0.08646575962663396,2972.7564935064934
1000,12,0.12,5,3,1,2000,133916001,150,0.075,0.08540795130843805,2994.4383783783783
1000,13,0.12,20,3,1,2000,133916001,149,0.0745,0.08487886042737872,2972.0540248514317
1000,14,0.12,300,3,1,2000,133916001,152,0.076,0.08646575962663396,2972.068722943723
1000,15,0.14,5,3,1,2000,133916001,170,0.085,0.09596495225148519,2663.2016393442623
1000,16,0.14,20,3,1,2000,133916001,169,0.0845,0.09543816252315049,2642.190606226106
1000,17,0.14,300,3,1,2000,133916001,170,0.085,0.09596495225148519,2641.5213114754097
1000,18,0.16,5,3,1,2000,133916001,192,0.096,0.10752906694952707,2229.095685840708
1000,19,0.16,20,3,1,2000,133916001,195,0.0975,0.10910248054694563,2145.216620498615
1000,20,0.16,300,3,1,2000,133916001,209,0.1045,0.11643490737076283,2145.225013958682
1000,21,0.18,5,3,1,2000,133916001,197,0.0985,0.11015098413966533,2163.169162506933
1000,22,0.18,20,3,1,2000,133916001,198,0.099,0.11067510607775316,2076.842397336293
1000,23,0.18,300,3,1,2000,133916001,217,0.1085,0.12061774184802473,2078.1901289960742
1000,24,0.2,5,3,1,2000,133916001,232,0.116,0.1284476167205514,1843.2664027149322
1000,25,0.2,20,3,1,2000,133916001,232,0.116,0.1284476167205514,1743.6317873303167
1000,26,0.2,300,3,1,2000,133916001,254,0.127,0.13990339891815504,1745.2262313860251
3000,0,0.1,5,3,1,2000,134916001,114,0.057,0.06627157733822144,3344.9045599151646
3000,1,0.1,20,3,1,2000,134916001,116,0.058,0.06734010836297123,3331.124203821656
3000,2,0.1,300,3,1,2000,134916001,117,0.0585,0.06787410539812413,3330.9102496016994
3000,3,0.105,5,3,1,2000,134916001,129,0.0645,0.07426889740017416,2890.366648850882
3000,4,0.105,20,3,1,2000,134916001,131,0.0655,0.07533246165778089,2875.1005885500267
3000,5,0.105,300,3,1,2000,134916001,132,0.066,0.07586401724014154,2874.7869379014987
3000,6,0.11,5,3,1,2000,134916001,134,0.067,0.07692668320181792,2795.9121114683817
3000,7,0.11,20,3,1,2000,134916001,137,0.0685,0.07851959194502071,2781.836822329576
3000,8,0.11,300,3,1,2000,134916001,138,0.069,0.07905027669669937,2781.031686358754
3000,9,0.115,5,3,1,2000,134916001,135,0.0675,0.07745779665006035,2795.4091152815013
3000,10,0.115,20,3,1,2000,134916001,138,0.069,0.07905027669669937,2781.317937701396
3000,11,0.115,300,3,1,2000,134916001,139,0.0695,0.07958082141132895,2780.507791509941
3000,12,0.12,5,3,1,2000,134916001,135,0.0675,0.07745779665006035,2794.238069705094
3000,13,0.12,20,3,1,2000,134916001,138,0.069,0.07905027669669937,2780.1369495166487
3000,14,0.12,300,3,1,2000,134916001,139,0.0695,0.07958082141132895,2779.328855454057
3000,15,0.14,5,3,1,2000,134916001,132,0.066,0.07586401724014154,2506.7730192719487
3000,16,0.14,20,3,1,2000,134916001,134,0.067,0.07692668320181792,2490.1002143622723
3000,17,0.14,300,3,1,2000,134916001,135,0.0675,0.07745779665006035,2489.5254691689006
3000,18,0.16,5,3,1,2000,134916001,171,0.0855,0.096491636700057,2107.7244395844723
3000,19,0.16,20,3,1,2000,134916001,176,0.088,0.09912350847324893,1971.342105263158
3000,20,0.16,300,3,1,2000,134916001,182,0.091,0.10227844705922812,1968.8041804180418
3000,21,0.18,5,3,1,2000,134916001,178,0.089,0.10017554846874782,2025.0444566410538
3000,22,0.18,20,3,1,2000,134916001,182,0.091,0.10227844705922812,1889.8569856985698
3000,23,0.18,300,3,1,2000,134916001,188,0.094,0.10542992772207804,1887.8211920529802
3000,24,0.2,5,3,1,2000,134916001,201,0.1005,0.11224695939417208,1766.5186214563646
3000,25,0.2,20,3,1,2000,134916001,205,0.1025,0.11434158890884448,1622.3849582172702
3000,26,0.2,300,3,1,2000,134916001,211,0.1055,0.11748108534845089,1620.0011179429848
