time_s,previous_period_s,own_count,D_cell_mask_before,D_cell_mask_after,next_period_s,slack_min,slack_max,completed_passes,physical_pending_words_diagnostic_only,local_previous_set_period,local_refined_set_period,PrH_D3000,PrH_D30,last_blocking_node,knownD_slack_unused_for_unknown,remaining_risk_potential_min,remaining_risk_potential_max,dwell,policy,row
3582.0,20.0,0.0,8191.0,8191.0,300.0,0.0005765033888148565,0.01105764851367414,2032.0,0.0,-1.0,-1.0,8.315965572541129e-05,0.008247716341804073,13.0,0.023324804475851627,0.0006222208328216395,0.011059940731412596,300,0,2031
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023324804475851627,0.08755900815402341,0.11725067853058153,300,1,0
3592.0,10.0,0.0,4294967295.0,4294967295.0,300.0,0.0005061165369334569,0.011530726716058051,2403.0,0.0,-1.0,-1.0,8.315965572541127e-05,0.008247716341804077,31.0,0.023324804475851627,0.0005441115727118587,0.011531181765518716,300,1,2402
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023273014391360716,0.08755900815402341,0.11725067853058153,1000,0,0
223.0,1.0,4.0,4294967295.0,2147483647.0,1.0,0.011736494137484371,0.011999794786344317,223.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023273014391360716,0.08304504424259523,0.11206844211844212,1000,0,222
238.0,1.0,7.0,2147483647.0,1073741823.0,1.0,0.011743553115871205,0.0119997947863444,238.0,0.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023273014391360716,0.0828664012197509,0.11171578716367725,1000,0,237
253.0,1.0,6.0,1073741823.0,536870911.0,1.0,0.011743553115871344,0.01199979478634454,253.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023273014391360716,0.0826743616433637,0.11136279328899355,1000,0,252
271.0,1.0,6.0,536870911.0,268435455.0,1.0,0.011743553115871566,0.011999794786344622,271.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023273014391360716,0.08240763385058994,0.11093874846674207,1000,0,270
586.0,2.0,0.0,8388607.0,4194303.0,5.0,0.01174094962117224,0.011921323893347588,484.0,0.0,2.0,5.0,8.315965572534348e-05,0.0082477163415956,23.0,0.023273014391360716,0.04820838005487447,0.07499422735598024,1000,0,483
3599.0,2.0,17.0,2047.0,2047.0,300.0,8.231490684323803e-05,0.004895588977340045,1886.0,0.0,-1.0,-1.0,0.9993539616164316,0.9394693795581008,11.0,0.023273014391360716,0.00012423940702011117,0.004938081962702999,1000,0,1885
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023273014391360716,0.08755900815402341,0.11725067853058153,1000,1,0
3598.0,2.0,19.0,4294967295.0,4294967295.0,300.0,0.00023258376414681637,0.006660217785908702,2256.0,0.0,-1.0,-1.0,0.9993539616164316,0.9394693795581008,32.0,0.023273014391360716,0.0003097002025857921,0.0067451896074614505,1000,1,2255
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023257837470331708,0.08755900815402341,0.11725067853058153,3000,0,0
223.0,1.0,4.0,4294967295.0,2147483647.0,1.0,0.011736494137484371,0.011999794786344317,223.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08304504424259523,0.11206844211844212,3000,0,222
238.0,1.0,7.0,2147483647.0,1073741823.0,1.0,0.011743553115871205,0.0119997947863444,238.0,0.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0828664012197509,0.11171578716367725,3000,0,237
253.0,1.0,6.0,1073741823.0,536870911.0,1.0,0.011743553115871344,0.01199979478634454,253.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.0826743616433637,0.11136279328899355,3000,0,252
271.0,1.0,6.0,536870911.0,268435455.0,1.0,0.011743553115871566,0.011999794786344622,271.0,1.0,1.0,1.0,0.9996862798937005,0.9695950480857485,0.0,0.023257837470331708,0.08240763385058994,0.11093874846674207,3000,0,270
1943.0,5.0,0.0,4095.0,2047.0,10.0,0.010821835861549639,0.011670381993037838,1303.0,0.0,5.0,10.0,8.315965572541127e-05,0.008247716341804077,12.0,0.023257837470331708,0.02557572313572149,0.04408602608904166,3000,0,1302
3598.0,2.0,12.0,511.0,511.0,300.0,0.0001171242461379178,0.005521081520172411,1762.0,3.0,-1.0,-1.0,0.9993539616164316,0.9394693795581008,9.0,0.023257837470331708,0.00020110739065060094,0.005606053341725159,3000,0,1761
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023257837470331708,0.08755900815402341,0.11725067853058153,3000,1,0
3598.0,2.0,12.0,4294967295.0,4294967295.0,300.0,0.0001809684506195119,0.008508540467908294,2188.0,3.0,-1.0,-1.0,0.9993539616164316,0.9394693795581008,32.0,0.023257837470331708,0.00025808488905848764,0.008593512289461041,3000,1,2187
