sigma_model,shield_mm,budget,observability_domain,expected_count_valid_period,fraction_of_budget
main_loglog,3.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,30534.744798050437,0.6576073602508163
main_loglog,3.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,766.8312508142753,0.016514756482851098
main_loglog,3.0,parent_event,NO_GEOMETRY_GT186,9.303791673810888,0.00020036983847099112
main_loglog,3.0,multi_upper,NO_GEOMETRY_LT0p9,195.89154100966755,0.5073194693950648
main_loglog,3.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,152.22679316973253,0.39423660429916
main_loglog,3.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,35.55598767336518,0.09208281637530674
main_loglog,3.0,multi_upper,NO_GEOMETRY_GT186,2.456218816709768,0.0063611099304684985
main_loglog,3.0,bit_flip,NO_GEOMETRY_LT0p9,15318.106345890348,0.3270531509573191
main_loglog,3.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,30687.274566979315,0.6551965115528536
main_loglog,3.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,816.9247336298731,0.0174419606572518
main_loglog,3.0,bit_flip,NO_GEOMETRY_GT186,14.443368309319634,0.00030837683257548313
published_rpp_fluka_digitized,3.0,parent_event,NO_GEOMETRY_LT0p9,17578.569128852312,0.3479199772574629
published_rpp_fluka_digitized,3.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,32574.99618247024,0.6447334733499404
published_rpp_fluka_digitized,3.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,363.84459868471004,0.007201314485367325
published_rpp_fluka_digitized,3.0,parent_event,NO_GEOMETRY_GT186,7.3379570692648945,0.00014523490722942394
published_rpp_fluka_digitized,3.0,multi_upper,NO_GEOMETRY_LT0p9,227.7108902251848,0.5427252914234185
published_rpp_fluka_digitized,3.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,164.3529036753259,0.391718101208367
published_rpp_fluka_digitized,3.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,25.568307515676487,0.0609394093270044
published_rpp_fluka_digitized,3.0,multi_upper,NO_GEOMETRY_GT186,1.9372347169457105,0.0046171980412100695
published_rpp_fluka_digitized,3.0,bit_flip,NO_GEOMETRY_LT0p9,17806.280019077498,0.3494168946374804
published_rpp_fluka_digitized,3.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,32739.42942908346,0.6424536596670877
published_rpp_fluka_digitized,3.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,402.884865485383,0.007905906143423366
published_rpp_fluka_digitized,3.0,bit_flip,NO_GEOMETRY_GT186,11.391572415330804,0.0002235395520085215
main_loglog,5.0,parent_event,NO_GEOMETRY_LT0p9,4023.5330123116128,0.3209520808044892
main_loglog,5.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,8144.452001339854,0.6496725163789626
main_loglog,5.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,358.965907948799,0.02863425122684615
main_loglog,5.0,parent_event,NO_GEOMETRY_GT186,9.291255818683245,0.0007411515897019943
main_loglog,5.0,multi_upper,NO_GEOMETRY_LT0p9,52.120413064798456,0.46866171158692993
main_loglog,5.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,40.62452472401434,0.3652917958630099
main_loglog,5.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,16.01331389056937,0.14399016920304641
main_loglog,5.0,multi_upper,NO_GEOMETRY_GT186,2.4529093269525175,0.02205632334701368
main_loglog,5.0,bit_flip,NO_GEOMETRY_LT0p9,4075.653425376411,0.32200946863193
main_loglog,5.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,8185.158933809691,0.6466935246586946
main_loglog,5.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,381.70032190157167,0.030157401771915907
main_loglog,5.0,bit_flip,NO_GEOMETRY_GT186,14.423907429387153,0.0011396049374596037
published_rpp_fluka_digitized,5.0,parent_event,NO_GEOMETRY_LT0p9,4677.303559739963,0.34528989276364397
published_rpp_fluka_digitized,5.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,8683.807006621273,0.6410596942874366
published_rpp_fluka_digitized,5.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,177.58068762182575,0.01310943705121489
published_rpp_fluka_digitized,5.0,parent_event,NO_GEOMETRY_GT186,7.3280699640954925,0.0005409758977045499
published_rpp_fluka_digitized,5.0,multi_upper,NO_GEOMETRY_LT0p9,60.589286285746184,0.5137234844687497
published_rpp_fluka_digitized,5.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,43.81266224382402,0.3714781092749839
published_rpp_fluka_digitized,5.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,11.604864565495399,0.09839514255471145
published_rpp_fluka_digitized,5.0,multi_upper,NO_GEOMETRY_GT186,1.9346245022492405,0.01640326370155493
published_rpp_fluka_digitized,5.0,bit_flip,NO_GEOMETRY_LT0p9,4737.89284602571,0.34653212039141174
published_rpp_fluka_digitized,5.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,8727.641383762671,0.6383445495750457
published_rpp_fluka_digitized,5.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,195.39455749638432,0.014291266713421201
published_rpp_fluka_digitized,5.0,bit_flip,NO_GEOMETRY_GT186,11.37622350098692,0.0008320633201214054
main_loglog,7.0,parent_event,NO_GEOMETRY_LT0p9,2315.7082442473484,0.3220078644744277
main_loglog,7.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,4685.805418806447,0.6515787124741947
main_loglog,7.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,180.67239745477593,0.025123170424604338
main_loglog,7.0,parent_event,NO_GEOMETRY_GT186,9.278806434921849,0.0012902526267733149
main_loglog,7.0,multi_upper,NO_GEOMETRY_LT0p9,29.997435054817288,0.4702738654307628
main_loglog,7.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,23.372197144876072,0.366409110473784
main_loglog,7.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,7.967906743709464,0.12491395670692003
main_loglog,7.0,multi_upper,NO_GEOMETRY_GT186,2.449622665801532,0.03840306738853319
main_loglog,7.0,bit_flip,NO_GEOMETRY_LT0p9,2345.7056793021657,0.32303517146577526
main_loglog,7.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,4709.224975414694,0.6485235171773804
main_loglog,7.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,192.1207497927916,0.02645760714955116
main_loglog,7.0,bit_flip,NO_GEOMETRY_GT186,14.404580789110367,0.001983704207293038
published_rpp_fluka_digitized,7.0,parent_event,NO_GEOMETRY_LT0p9,2691.945132522227,0.34596190306087576
published_rpp_fluka_digitized,7.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,4996.2813017720655,0.6421092935757529
published_rpp_fluka_digitized,7.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,85.50030458713172,0.01098828045560263
published_rpp_fluka_digitized,7.0,parent_event,NO_GEOMETRY_GT186,7.318251059418481,0.0009405229077687313
published_rpp_fluka_digitized,7.0,multi_upper,NO_GEOMETRY_LT0p9,34.871167162171076,0.5143617789540571
published_rpp_fluka_digitized,7.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,25.20788200700713,0.3718249800039355
published_rpp_fluka_digitized,7.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,5.7839386757482085,0.08531509635979147
published_rpp_fluka_digitized,7.0,multi_upper,NO_GEOMETRY_GT186,1.9320322926133517,0.028498144682215943
published_rpp_fluka_digitized,7.0,bit_flip,NO_GEOMETRY_LT0p9,2726.816299684397,0.347176443952993
published_rpp_fluka_digitized,7.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,5021.5016669702445,0.6393342640076384
published_rpp_fluka_digitized,7.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,94.58751358109738,0.012042819536923542
published_rpp_fluka_digitized,7.0,bit_flip,NO_GEOMETRY_GT186,11.360980462275792,0.001446472502445013
main_loglog,10.0,parent_event,NO_GEOMETRY_LT0p9,863.478456304337,0.3232662745767409
main_loglog,10.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,1745.6266377208162,0.6535220605191793
main_loglog,10.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,52.740304013229554,0.01974474461282031
main_loglog,10.0,parent_event,NO_GEOMETRY_GT186,9.260511277108852,0.003466920291259431
main_loglog,10.0,multi_upper,NO_GEOMETRY_LT0p9,11.185406874362945,0.42762501795445773
main_loglog,10.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,8.706052384451208,0.3328377634385726
main_loglog,10.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,3.820793117672948,0.14607128233216088
main_loglog,10.0,multi_upper,NO_GEOMETRY_GT186,2.444792709107483,0.09346593627480876
main_loglog,10.0,bit_flip,NO_GEOMETRY_LT0p9,874.6638631786998,0.32368897274503305
main_loglog,10.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,1754.3502260834593,0.6492366341193554
main_loglog,10.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,58.783536854980355,0.021754165754325806
main_loglog,10.0,bit_flip,NO_GEOMETRY_GT186,14.37617906733557,0.005320227381285758
published_rpp_fluka_digitized,10.0,parent_event,NO_GEOMETRY_LT0p9,1003.7639090920004,0.34611143633419855
published_rpp_fluka_digitized,10.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,1861.6368333567284,0.6419176785391769
published_rpp_fluka_digitized,10.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,27.41315450478112,0.009452428199658922
published_rpp_fluka_digitized,10.0,parent_event,NO_GEOMETRY_GT186,7.303821557198961,0.0025184569269655977
published_rpp_fluka_digitized,10.0,multi_upper,NO_GEOMETRY_LT0p9,13.002649512587142,0.472702006979887
published_rpp_fluka_digitized,10.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,9.39276087154564,0.3414670918233766
published_rpp_fluka_digitized,10.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,3.1834416420313203,0.11573174004535154
published_rpp_fluka_digitized,10.0,multi_upper,NO_GEOMETRY_GT186,1.9282228763979066,0.0700991611513848
published_rpp_fluka_digitized,10.0,bit_flip,NO_GEOMETRY_LT0p9,1016.7665586045875,0.34679675711913066
published_rpp_fluka_digitized,10.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,1871.0342230315669,0.638168707964558
published_rpp_fluka_digitized,10.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,32.740875948577816,0.011167194188397945
published_rpp_fluka_digitized,10.0,bit_flip,NO_GEOMETRY_GT186,11.338579851601832,0.003867340727913362
