shield_mm,rho,path,b1_s-1,b2_s-1,Lambda_D,eps_1e-08,eps_1e-07,eps_1e-06,eps_1e-05,eps_0.0001,eps_0.001,eps_0.01,eps_0.1
3,0.01,LH,2.8886786e-05,6.1249308,9.187439530179e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
3,0.01,HL,6.1249308,2.8886786e-05,9.187439530179e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
3,0.01,HH,6.1249308,6.1249308,1.837479240000e+01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
5,0,LL,7.1682448e-06,7.1682448e-06,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
5,0,LH,7.1682448e-06,1.5358618,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
5,0,HL,1.5358618,7.1682448e-06,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
5,0,HH,1.5358618,1.5358618,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
5,0.0001,LL,7.1682448e-06,7.1682448e-06,2.150473440000e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
5,0.0001,LH,7.1682448e-06,1.5358618,2.303803452367e-02,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS
5,0.0001,HL,1.5358618,7.1682448e-06,2.303803452367e-02,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS
5,0.0001,HH,1.5358618,1.5358618,4.607585400000e-02,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS
5,0.01,LL,7.1682448e-06,7.1682448e-06,2.150473440000e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
5,0.01,LH,7.1682448e-06,1.5358618,2.303803452367e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
5,0.01,HL,1.5358618,7.1682448e-06,2.303803452367e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
5,0.01,HH,1.5358618,1.5358618,4.607585400000e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
